label,country
DE_bus_el,DE
AT_bus_el,AT
BE_bus_el,BE
CH_bus_el,CH
CZ_bus_el,CZ
DK1_bus_el,DK1
DK2_bus_el,DK2
FR_bus_el,FR
NL_bus_el,NL
NO1_bus_el,NO1
NO2_bus_el,NO2
NO3_bus_el,NO3
NO4_bus_el,NO4
NO5_bus_el,NO5
PL_bus_el,PL
SE1_bus_el,SE1
SE2_bus_el,SE2
SE3_bus_el,SE3
SE4_bus_el,SE4
AT_bus_hydro,AT
CH_bus_hydro,CH
FR_bus_hydro,FR
NO1_bus_hydro,NO1
NO2_bus_hydro,NO2
NO3_bus_hydro,NO3
NO4_bus_hydro,NO4
NO5_bus_hydro,NO5
SE1_bus_hydro,SE1
SE2_bus_hydro,SE2
SE3_bus_hydro,SE3
SE4_bus_hydro,SE4
DE_bus_biomass,DE
BE_bus_biomass,BE
DK1_bus_biomass,DK1
DK2_bus_biomass,DK2
PL_bus_biomass,PL
SE3_bus_biomass,SE3
DE_bus_hardcoal,DE
AT_bus_hardcoal,AT
BE_bus_hardcoal,BE
CZ_bus_hardcoal,CZ
DK1_bus_hardcoal,DK1
DK2_bus_hardcoal,DK2
FR_bus_hardcoal,FR
NL_bus_hardcoal,NL
PL_bus_hardcoal,PL
SE3_bus_hardcoal,SE3
DE_bus_lignite,DE
CZ_bus_lignite,CZ
PL_bus_lignite,PL
DE_bus_natgas,DE
AT_bus_natgas,AT
BE_bus_natgas,BE
CZ_bus_natgas,CZ
DK1_bus_natgas,DK1
DK2_bus_natgas,DK2
FR_bus_natgas,FR
NL_bus_natgas,NL
NO2_bus_natgas,NO2
NO3_bus_natgas,NO3
NO4_bus_natgas,NO4
NO5_bus_natgas,NO5
PL_bus_natgas,PL
SE3_bus_natgas,SE3
SE4_bus_natgas,SE4
DE_bus_uranium,DE
BE_bus_uranium,BE
CH_bus_uranium,CH
CZ_bus_uranium,CZ
FR_bus_uranium,FR
NL_bus_uranium,NL
SE3_bus_uranium,SE3
DE_bus_oil,DE
AT_bus_oil,AT
DK2_bus_oil,DK2
FR_bus_oil,FR
PL_bus_oil,PL
SE3_bus_oil,SE3
SE4_bus_oil,SE4
DE_bus_otherfossil,DE
CZ_bus_otherfossil,CZ
DK2_bus_otherfossil,DK2
FR_bus_otherfossil,FR
NL_bus_otherfossil,NL
SE3_bus_otherfossil,SE3
DE_bus_waste,DE
DE_bus_mixedfuels,DE
DE_bus_solarPV,DE
DE_bus_windoffshore,DE
DE_bus_windonshore,DE
