link,from,to,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,conversion_factor,type
DE_link_AT,DE_bus_el,AT_bus_el,4900,100000,100000,100000,4900,4900,5485,7805,7805,7805,7805,7805,7805,7805,7805,7805,0.95,DC
DE_link_BE,DE_bus_el,BE_bus_el,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.95,DC
DE_link_CH,DE_bus_el,CH_bus_el,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0.95,DC
DE_link_CZ,DE_bus_el,CZ_bus_el,1800,1800,1800,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0.95,DC
DE_link_DK2,DE_bus_el,DK2_bus_el,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,0.95,DC
DE_link_DK1,DE_bus_el,DK1_bus_el,1780,1780,1780,1780,1780,1780,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0.95,DC
DE_link_FR,DE_bus_el,FR_bus_el,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0.95,DC
DE_link_NL,DE_bus_el,NL_bus_el,2449,2449,2449,2449,3949,4249,4249,4249,4249,4249,4249,4249,4249,4249,4249,4249,0.95,DC
DE_link_NO2,DE_bus_el,NO2_bus_el,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0.95,DC
DE_link_PL,DE_bus_el,PL_bus_el,1400,1400,1400,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,0.95,DC
DE_link_SE4,DE_bus_el,SE4_bus_el,600,600,600,600,600,600,600,600,600,600,600,600,1300,1300,1300,1300,0.95,DC
AT_link_DE,AT_bus_el,DE_bus_el,4900,100000,100000,100000,4900,4900,5485,7805,7805,7805,7805,7805,7805,7805,7805,7805,0.95,DC
BE_link_DE,BE_bus_el,DE_bus_el,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.95,DC
CH_link_DE,CH_bus_el,DE_bus_el,2000,2000,2000,2000,3100,3100,3100,3100,3400,3400,3400,3400,3400,3400,3400,3400,0.95,DC
CZ_link_DE,CZ_bus_el,DE_bus_el,1000,1000,1000,1000,1000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,0.95,DC
DK2_link_DE,DK2_bus_el,DE_bus_el,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,0.95,DC
DK1_link_DE,DK1_bus_el,DE_bus_el,1500,1500,1500,1500,1500,1500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0.95,DC
FR_link_DE,FR_bus_el,DE_bus_el,3000,3000,3000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,0.95,DC
NL_link_DE,NL_bus_el,DE_bus_el,2449,2449,2449,2449,3949,4249,4249,4249,4249,4249,4249,4249,4249,4249,4249,4249,0.95,DC
NO2_link_DE,NO2_bus_el,DE_bus_el,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0.95,DC
PL_link_DE,PL_bus_el,DE_bus_el,0,0,0,0,0,200,200,200,200,200,900,900,900,900,900,900,0.95,DC
SE4_link_DE,SE4_bus_el,DE_bus_el,615,615,615,615,615,615,615,615,615,615,615,615,1315,1315,1315,1315,0.95,DC
FR_link_CH,FR_bus_el,CH_bus_el,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,0.95,DC
CH_link_FR,CH_bus_el,FR_bus_el,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0.95,DC
AT_link_CH,AT_bus_el,CH_bus_el,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,0.95,DC
CH_link_AT,CH_bus_el,AT_bus_el,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0.95,DC
FR_link_BE,FR_bus_el,BE_bus_el,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0.95,DC
BE_link_FR,BE_bus_el,FR_bus_el,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,0.95,DC
NL_link_BE,NL_bus_el,BE_bus_el,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,0.95,DC
BE_link_NL,BE_bus_el,NL_bus_el,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,0.95,DC
DK1_link_DK2,DK1_bus_el,DK2_bus_el,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,0.95,DC
DK2_link_DK1,DK2_bus_el,DK1_bus_el,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0.95,DC
DK2_link_SE4,DK2_bus_el,SE4_bus_el,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0.95,DC
SE4_link_DK2,SE4_bus_el,DK2_bus_el,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,0.95,DC
DK1_link_SE3,DK1_bus_el,SE3_bus_el,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,0.95,DC
SE3_link_DK1,SE3_bus_el,DK1_bus_el,715,715,715,715,715,715,715,715,715,715,715,715,715,715,715,715,0.95,DC
NO1_link_SE3,NO1_bus_el,SE3_bus_el,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145,0.95,DC
NO1_link_NO2,NO1_bus_el,NO2_bus_el,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,0.95,DC
NO1_link_NO5,NO1_bus_el,NO5_bus_el,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0.95,DC
NO1_link_NO3,NO1_bus_el,NO3_bus_el,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.95,DC
