new_timeindex,hoho_cluster,tcs_cluster,tcs_hoho_cluster,ind_cluster-1,ind_cluster-2
2017-01-01 00:00:00,0.6664,0.8848,0.0054,0.9664,1.0
2017-01-01 01:00:00,0.7507,0.8848,0.0108,0.9664,1.0
2017-01-01 02:00:00,0.7692,0.8848,0.0161,0.9664,1.0
2017-01-01 03:00:00,0.7906,0.8848,0.0161,0.9664,1.0
2017-01-01 04:00:00,0.7631,0.8848,0.0054,0.9664,1.0
2017-01-01 05:00:00,0.7369,0.881,0.0,0.9664,1.0
2017-01-01 06:00:00,0.6306,0.7408,0.5571,0.8814,1.0
2017-01-01 07:00:00,0.7003,0.7882,0.3545,0.8814,1.0
2017-01-01 08:00:00,0.658,0.839,0.4608,0.8814,1.0
2017-01-01 09:00:00,0.7506,0.839,0.3162,0.8814,1.0
2017-01-01 10:00:00,0.5428,0.839,0.4667,0.8814,1.0
2017-01-01 11:00:00,0.5591,0.839,0.4537,0.8814,1.0
2017-01-01 12:00:00,0.4099,0.839,0.4933,0.8814,1.0
2017-01-01 13:00:00,0.48,0.839,0.4565,0.8814,1.0
2017-01-01 14:00:00,0.3092,0.839,0.4636,0.8814,1.0
2017-01-01 15:00:00,0.5365,0.839,0.4676,0.8814,1.0
2017-01-01 16:00:00,0.6365,0.839,0.5387,0.8814,1.0
2017-01-01 17:00:00,0.6046,0.8409,0.3293,0.8814,1.0
2017-01-01 18:00:00,0.4554,0.9792,0.4602,0.9664,1.0
2017-01-01 19:00:00,0.3679,0.9303,0.5625,0.9664,1.0
2017-01-01 20:00:00,0.426,0.8848,0.5458,0.9664,1.0
2017-01-01 21:00:00,0.3616,0.8848,0.0538,0.9664,1.0
2017-01-01 22:00:00,0.4251,0.8848,0.0,0.9664,1.0
2017-01-01 23:00:00,0.5628,0.8848,0.0,0.9664,1.0
2017-01-02 00:00:00,0.6624,0.2965,0.0054,0.6736,1.0
2017-01-02 01:00:00,0.753,0.2965,0.0108,0.6736,1.0
2017-01-02 02:00:00,0.7867,0.2965,0.0215,0.6736,1.0
2017-01-02 03:00:00,0.7993,0.2965,0.0161,0.6736,1.0
2017-01-02 04:00:00,0.7674,0.2965,0.0054,0.6736,1.0
2017-01-02 05:00:00,0.7412,0.289,0.0054,0.6736,1.0
2017-01-02 06:00:00,0.837,0.257,0.446,0.6632,1.0
2017-01-02 07:00:00,0.6395,0.1714,0.4234,0.6814,1.0
2017-01-02 08:00:00,0.522,0.2252,0.4911,0.6996,1.0
2017-01-02 09:00:00,0.6318,0.2954,0.4931,0.7088,1.0
2017-01-02 10:00:00,0.6218,0.2984,0.4472,0.7161,1.0
2017-01-02 11:00:00,0.6658,0.3015,0.3502,0.7161,1.0
2017-01-02 12:00:00,0.6392,0.3045,0.4661,0.7161,1.0
2017-01-02 13:00:00,0.6532,0.2984,0.5548,0.6996,1.0
2017-01-02 14:00:00,0.5325,0.3015,0.5656,0.6996,1.0
2017-01-02 15:00:00,0.6207,0.3045,0.4389,0.6996,1.0
2017-01-02 16:00:00,0.7473,0.3076,0.5894,0.7161,1.0
2017-01-02 17:00:00,0.7463,0.2472,0.5137,0.7088,1.0
2017-01-02 18:00:00,0.5587,0.2816,0.5835,0.7239,1.0
2017-01-02 19:00:00,0.4039,0.2345,0.2995,0.7057,1.0
2017-01-02 20:00:00,0.4053,0.327,0.5444,0.6966,1.0
2017-01-02 21:00:00,0.3415,0.327,0.0592,0.6966,1.0
2017-01-02 22:00:00,0.5179,0.2965,0.0,0.6736,1.0
2017-01-02 23:00:00,0.5603,0.2965,0.0,0.6736,1.0
2017-01-03 00:00:00,0.6624,0.2965,0.0054,0.6736,1.0
2017-01-03 01:00:00,0.753,0.2965,0.0108,0.6736,1.0
2017-01-03 02:00:00,0.7867,0.2965,0.0215,0.6736,1.0
2017-01-03 03:00:00,0.7993,0.2965,0.0215,0.6736,1.0
2017-01-03 04:00:00,0.7674,0.2965,0.0108,0.6736,1.0
2017-01-03 05:00:00,0.7412,0.289,0.0054,0.6736,1.0
2017-01-03 06:00:00,0.837,0.257,0.4514,0.6632,1.0
2017-01-03 07:00:00,0.6395,0.1714,0.4287,0.6814,1.0
2017-01-03 08:00:00,0.522,0.2252,0.4965,0.6996,1.0
2017-01-03 09:00:00,0.6318,0.2954,0.4931,0.7088,1.0
2017-01-03 10:00:00,0.6218,0.2984,0.4472,0.7161,1.0
2017-01-03 11:00:00,0.6658,0.3015,0.3502,0.7161,1.0
2017-01-03 12:00:00,0.6392,0.3045,0.4715,0.7161,1.0
2017-01-03 13:00:00,0.6532,0.2984,0.5548,0.6996,1.0
2017-01-03 14:00:00,0.5325,0.3015,0.571,0.6996,1.0
2017-01-03 15:00:00,0.6207,0.3045,0.4443,0.6996,1.0
2017-01-03 16:00:00,0.7473,0.3076,0.5948,0.7161,1.0
2017-01-03 17:00:00,0.7463,0.2472,0.5191,0.7088,1.0
2017-01-03 18:00:00,0.5587,0.2816,0.5942,0.7239,1.0
2017-01-03 19:00:00,0.4039,0.2345,0.3049,0.7057,1.0
2017-01-03 20:00:00,0.4053,0.327,0.5497,0.6966,1.0
2017-01-03 21:00:00,0.3415,0.327,0.0646,0.6966,1.0
2017-01-03 22:00:00,0.5179,0.2965,0.0,0.6736,1.0
2017-01-03 23:00:00,0.5603,0.2965,0.0,0.6736,1.0
2017-01-04 00:00:00,0.6624,0.2965,0.0108,0.6736,1.0
2017-01-04 01:00:00,0.753,0.2965,0.0161,0.6736,1.0
2017-01-04 02:00:00,0.7867,0.2965,0.0269,0.6736,1.0
2017-01-04 03:00:00,0.7993,0.2965,0.0269,0.6736,1.0
2017-01-04 04:00:00,0.7674,0.2965,0.0108,0.6736,1.0
2017-01-04 05:00:00,0.7412,0.289,0.0054,0.6736,1.0
2017-01-04 06:00:00,0.837,0.257,0.4676,0.6632,1.0
2017-01-04 07:00:00,0.6395,0.1714,0.4395,0.6814,1.0
2017-01-04 08:00:00,0.522,0.2252,0.5072,0.6996,1.0
2017-01-04 09:00:00,0.6318,0.2954,0.5038,0.7088,1.0
2017-01-04 10:00:00,0.6218,0.2984,0.4579,0.7161,1.0
2017-01-04 11:00:00,0.6658,0.3015,0.3664,0.7161,1.0
2017-01-04 12:00:00,0.6392,0.3045,0.4823,0.7161,1.0
2017-01-04 13:00:00,0.6532,0.2984,0.571,0.6996,1.0
2017-01-04 14:00:00,0.5325,0.3015,0.5818,0.6996,1.0
2017-01-04 15:00:00,0.6207,0.3045,0.4551,0.6996,1.0
2017-01-04 16:00:00,0.7473,0.3076,0.6109,0.7161,1.0
2017-01-04 17:00:00,0.7463,0.2472,0.5353,0.7088,1.0
2017-01-04 18:00:00,0.5587,0.2816,0.6104,0.7239,1.0
2017-01-04 19:00:00,0.4039,0.2345,0.3157,0.7057,1.0
2017-01-04 20:00:00,0.4053,0.327,0.5605,0.6966,1.0
2017-01-04 21:00:00,0.3415,0.327,0.0754,0.6966,1.0
2017-01-04 22:00:00,0.5179,0.2965,0.0,0.6736,1.0
2017-01-04 23:00:00,0.5603,0.2965,0.0,0.6736,1.0
2017-01-05 00:00:00,0.6624,0.2965,0.0108,0.6736,1.0
2017-01-05 01:00:00,0.753,0.2965,0.0161,0.6736,1.0
2017-01-05 02:00:00,0.7867,0.2965,0.0269,0.6736,1.0
2017-01-05 03:00:00,0.7993,0.2965,0.0269,0.6736,1.0
2017-01-05 04:00:00,0.7674,0.2965,0.0108,0.6736,1.0
2017-01-05 05:00:00,0.7412,0.289,0.0054,0.6736,1.0
