label,country,from,excess_costs
AT_sink_el_excess,AT,AT_bus_el,1000000
BE_sink_el_excess,BE,BE_bus_el,1000000
CH_sink_el_excess,CH,CH_bus_el,1000000
CZ_sink_el_excess,CZ,CZ_bus_el,1000000
DK1_sink_el_excess,DK1,DK1_bus_el,1000000
DK2_sink_el_excess,DK2,DK2_bus_el,1000000
FR_sink_el_excess,FR,FR_bus_el,1000000
NL_sink_el_excess,NL,NL_bus_el,1000000
NO1_sink_el_excess,NO1,NO1_bus_el,1000000
NO2_sink_el_excess,NO2,NO2_bus_el,1000000
NO3_sink_el_excess,NO3,NO3_bus_el,1000000
NO4_sink_el_excess,NO4,NO4_bus_el,1000000
NO5_sink_el_excess,NO5,NO5_bus_el,1000000
PL_sink_el_excess,PL,PL_bus_el,1000000
SE1_sink_el_excess,SE1,SE1_bus_el,1000000
SE2_sink_el_excess,SE2,SE2_bus_el,1000000
SE3_sink_el_excess,SE3,SE3_bus_el,1000000
SE4_sink_el_excess,SE4,SE4_bus_el,1000000
AT_sink_hydro_excess,AT,AT_bus_hydro,1
CH_sink_hydro_excess,CH,CH_bus_hydro,1
FR_sink_hydro_excess,FR,FR_bus_hydro,1
NO1_sink_hydro_excess,NO1,NO1_bus_hydro,1
NO2_sink_hydro_excess,NO2,NO2_bus_hydro,1
NO3_sink_hydro_excess,NO3,NO3_bus_hydro,1
NO4_sink_hydro_excess,NO4,NO4_bus_hydro,1
NO5_sink_hydro_excess,NO5,NO5_bus_hydro,1
SE1_sink_hydro_excess,SE1,SE1_bus_hydro,1
SE2_sink_hydro_excess,SE2,SE2_bus_hydro,1
SE3_sink_hydro_excess,SE3,SE3_bus_hydro,1
SE4_sink_hydro_excess,SE4,SE4_bus_hydro,1
