label,country,to,emission_factors,Unit,source
DE_source_biomass,DE,DE_bus_biomass,0.0,t CO2/MWh,
BE_source_biomass,BE,BE_bus_biomass,0.0,t CO2/MWh,
DK1_source_biomass,DK1,DK1_bus_biomass,0.0,t CO2/MWh,
DK2_source_biomass,DK2,DK2_bus_biomass,0.0,t CO2/MWh,
PL_source_biomass,PL,PL_bus_biomass,0.0,t CO2/MWh,
SE3_source_biomass,SE3,SE3_bus_biomass,0.0,t CO2/MWh,
DE_source_hardcoal,DE,DE_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
AT_source_hardcoal,AT,AT_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
BE_source_hardcoal,BE,BE_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
CZ_source_hardcoal,CZ,CZ_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
DK1_source_hardcoal,DK1,DK1_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
DK2_source_hardcoal,DK2,DK2_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
FR_source_hardcoal,FR,FR_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
NL_source_hardcoal,NL,NL_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
PL_source_hardcoal,PL,PL_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
SE3_source_hardcoal,SE3,SE3_bus_hardcoal,0.335,t CO2/MWh,"UBA (2020), p. 16"
DE_source_lignite,DE,DE_bus_lignite,0.406,t CO2/MWh,"UBA (2020), p. 16"
CZ_source_lignite,CZ,CZ_bus_lignite,0.406,t CO2/MWh,"UBA (2020), p. 16"
PL_source_lignite,PL,PL_bus_lignite,0.406,t CO2/MWh,"UBA (2020), p. 16"
DE_source_natgas,DE,DE_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
AT_source_natgas,AT,AT_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
BE_source_natgas,BE,BE_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
CZ_source_natgas,CZ,CZ_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
DK1_source_natgas,DK1,DK1_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
DK2_source_natgas,DK2,DK2_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
FR_source_natgas,FR,FR_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
NL_source_natgas,NL,NL_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
NO2_source_natgas,NO2,NO2_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
NO3_source_natgas,NO3,NO3_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
NO4_source_natgas,NO4,NO4_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
NO5_source_natgas,NO5,NO5_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
PL_source_natgas,PL,PL_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
SE3_source_natgas,SE3,SE3_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
SE4_source_natgas,SE4,SE4_bus_natgas,0.201,t CO2/MWh,"UBA (2020), p. 16"
DE_source_uranium,DE,DE_bus_uranium,0.0,t CO2/MWh,
BE_source_uranium,BE,BE_bus_uranium,0.0,t CO2/MWh,
CH_source_uranium,CH,CH_bus_uranium,0.0,t CO2/MWh,
CZ_source_uranium,CZ,CZ_bus_uranium,0.0,t CO2/MWh,
FR_source_uranium,FR,FR_bus_uranium,0.0,t CO2/MWh,
NL_source_uranium,NL,NL_bus_uranium,0.0,t CO2/MWh,
SE3_source_uranium,SE3,SE3_bus_uranium,0.0,t CO2/MWh,
DE_source_oil,DE,DE_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
AT_source_oil,AT,AT_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
DK2_source_oil,DK2,DK2_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
FR_source_oil,FR,FR_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
PL_source_oil,PL,PL_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
SE3_source_oil,SE3,SE3_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
SE4_source_oil,SE4,SE4_bus_oil,0.266,t CO2/MWh,"value for Heizöl, schwer from (UBA 2020), S. 27"
DE_source_otherfossil,DE,DE_bus_otherfossil,0.2452248,t CO2/MWh,Value for Grubengas based on exploration of powerplants
CZ_source_otherfossil,CZ,CZ_bus_otherfossil,0.2452248,t CO2/MWh,Value for Grubengas based on exploration of powerplants
DK2_source_otherfossil,DK2,DK2_bus_otherfossil,0.2452248,t CO2/MWh,Value for Grubengas based on exploration of powerplants
FR_source_otherfossil,FR,FR_bus_otherfossil,0.2452248,t CO2/MWh,Value for Grubengas based on exploration of powerplants
NL_source_otherfossil,NL,NL_bus_otherfossil,0.2452248,t CO2/MWh,Value for Grubengas based on exploration of powerplants
SE3_source_otherfossil,SE3,SE3_bus_otherfossil,0.2452248,t CO2/MWh,Value for Grubengas based on exploration of powerplants
DE_source_waste,DE,DE_bus_waste,0.164718,t CO2/MWh,"mean value of Hausmüll/Sidelungsabfall fossil (UBA 2018), S. 28; factor 0,5 in assumption that 50 percent of overall waste is organic waste"
DE_source_mixedfuels,DE,DE_bus_mixedfuels,0.314,t CO2/MWh,"Mean value of lignite, hard coal and gas"
