label,capacity,country,to
AT_source_solarPV,756.0,AT,AT_bus_el
AT_source_windonshore,2662.0,AT,AT_bus_el
BE_source_solarPV,2260.63,BE,BE_bus_el
BE_source_windoffshore,851.89,BE,BE_bus_el
BE_source_windonshore,1206.0,BE,BE_bus_el
CH_source_solarPV,1046.07,CH,CH_bus_el
CH_source_windonshore,38.93,CH,CH_bus_el
CZ_source_solarPV,1621.1,CZ,CZ_bus_el
CZ_source_windonshore,232.8,CZ,CZ_bus_el
DK1_source_solarPV,455.0,DK1,DK1_bus_el
DK1_source_windoffshore,823.99,DK1,DK1_bus_el
DK1_source_windonshore,6313.41,DK1,DK1_bus_el
DK2_source_solarPV,222.0,DK2,DK2_bus_el
DK2_source_windoffshore,378.49,DK2,DK2_bus_el
DK2_source_windonshore,660.13,DK2,DK2_bus_el
FR_source_solarPV,5510.0,FR,FR_bus_el
FR_source_windonshore,11219.0,FR,FR_bus_el
NL_source_solarPV,1580.0,NL,NL_bus_el
NL_source_windoffshore,922.0,NL,NL_bus_el
NL_source_windonshore,3245.0,NL,NL_bus_el
NO2_source_windonshore,991.67,NO2,NO2_bus_el
NO3_source_windonshore,454.92,NO3,NO3_bus_el
NO4_source_windonshore,238.28,NO4,NO4_bus_el
PL_source_windonshore,5234.34,PL,PL_bus_el
SE1_source_windonshore,519.0,SE1,SE1_bus_el
SE2_source_windonshore,1927.0,SE2,SE2_bus_el
SE3_source_windonshore,2005.0,SE3,SE3_bus_el
SE4_source_windonshore,1475.0,SE4,SE4_bus_el
AT_source_ROR,5057.75,AT,AT_bus_el
CH_source_ROR,165.0,CH,CH_bus_el
FR_source_ROR,7393.0,FR,FR_bus_el
NO1_source_ROR,1931.0,NO1,NO1_bus_el
NO2_source_ROR,625.0,NO2,NO2_bus_el
NO3_source_ROR,237.0,NO3,NO3_bus_el
NO4_source_ROR,142.0,NO4,NO4_bus_el
NO5_source_ROR,112.0,NO5,NO5_bus_el
DE_source_ROR,3555.9431049999994,DE,DE_bus_el
DE_source_biomassEEG,7263.834478000001,DE,DE_bus_el
DE_source_landfillgas,170.95574,DE,DE_bus_el
DE_source_geothermal,37.75,DE,DE_bus_el
DE_source_minegas,234.375,DE,DE_bus_el
DE_source_larga,85.87737,DE,DE_bus_el
AT_source_hydro,1359023.0,AT,AT_bus_hydro
CH_source_hydro,4938676.0,CH,CH_bus_hydro
FR_source_hydro,1711082.0,FR,FR_bus_hydro
NO1_source_hydro,4551000.0,NO1,NO1_bus_hydro
NO2_source_hydro,17539000.0,NO2,NO2_bus_hydro
NO3_source_hydro,5395000.0,NO3,NO3_bus_hydro
NO4_source_hydro,10398000.0,NO4,NO4_bus_hydro
NO5_source_hydro,12064000.0,NO5,NO5_bus_hydro
SE1_source_hydro,9764000.0,SE1,SE1_bus_hydro
SE2_source_hydro,11026000.0,SE2,SE2_bus_hydro
SE3_source_hydro,1119000.0,SE3,SE3_bus_hydro
SE4_source_hydro,143000.0,SE4,SE4_bus_hydro
