label,capacity,country,to
AT_source_solarPV,4648.701979793076,AT,AT_bus_el
AT_source_windonshore,4610.804455471269,AT,AT_bus_el
BE_source_solarPV,4282.831737735745,BE,BE_bus_el
BE_source_windoffshore,2243.349179206566,BE,BE_bus_el
BE_source_windonshore,2072.3117803365813,BE,BE_bus_el
CH_source_solarPV,5143.086028331584,CH,CH_bus_el
CH_source_windonshore,192.05466666666666,CH,CH_bus_el
CZ_source_solarPV,5477.821841024402,CZ,CZ_bus_el
CZ_source_windonshore,717.574341753054,CZ,CZ_bus_el
DK1_source_solarPV,3600.0118764845606,DK1,DK1_bus_el
DK1_source_windoffshore,2420.165172004745,DK1,DK1_bus_el
DK1_source_windonshore,9836.233179366149,DK1,DK1_bus_el
DK2_source_solarPV,2197.8,DK2,DK2_bus_el
DK2_source_windoffshore,379.3743224299065,DK2,DK2_bus_el
DK2_source_windonshore,1058.5966282894738,DK2,DK2_bus_el
FR_source_solarPV,26620.716230778995,FR,FR_bus_el
FR_source_windonshore,30202.47475116795,FR,FR_bus_el
NL_source_solarPV,7665.421977264898,NL,NL_bus_el
NL_source_windoffshore,11079.414838035527,NL,NL_bus_el
NL_source_windonshore,6722.98,NL,NL_bus_el
NO2_source_windonshore,401.9922879177379,NO2,NO2_bus_el
NO3_source_windonshore,1529.3000000000002,NO3,NO3_bus_el
NO4_source_windonshore,1105.9999999999998,NO4,NO4_bus_el
PL_source_windonshore,8361.33755903654,PL,PL_bus_el
SE1_source_windonshore,1410.0,SE1,SE1_bus_el
SE2_source_windonshore,4780.0,SE2,SE2_bus_el
SE3_source_windonshore,3020.0,SE3,SE3_bus_el
SE4_source_windonshore,1570.0000000000002,SE4,SE4_bus_el
AT_source_ROR,5057.75,AT,AT_bus_el
CH_source_ROR,165.0,CH,CH_bus_el
FR_source_ROR,7393.0,FR,FR_bus_el
NO1_source_ROR,1931.0,NO1,NO1_bus_el
NO2_source_ROR,625.0,NO2,NO2_bus_el
NO3_source_ROR,237.0,NO3,NO3_bus_el
NO4_source_ROR,142.0,NO4,NO4_bus_el
NO5_source_ROR,112.0,NO5,NO5_bus_el
DE_source_ROR,3555.9431049999994,DE,DE_bus_el
DE_source_biomassEEG,7000.0,DE,DE_bus_el
DE_source_landfillgas,170.95574,DE,DE_bus_el
DE_source_geothermal,37.75,DE,DE_bus_el
DE_source_minegas,234.375,DE,DE_bus_el
DE_source_larga,85.87737,DE,DE_bus_el
AT_source_hydro,1359023.0,AT,AT_bus_hydro
CH_source_hydro,4938676.0,CH,CH_bus_hydro
FR_source_hydro,1711082.0,FR,FR_bus_hydro
NO1_source_hydro,4551000.0,NO1,NO1_bus_hydro
NO2_source_hydro,17539000.0,NO2,NO2_bus_hydro
NO3_source_hydro,5395000.0,NO3,NO3_bus_hydro
NO4_source_hydro,10398000.0,NO4,NO4_bus_hydro
NO5_source_hydro,12064000.0,NO5,NO5_bus_hydro
SE1_source_hydro,9764000.0,SE1,SE1_bus_hydro
SE2_source_hydro,11026000.0,SE2,SE2_bus_hydro
SE3_source_hydro,1119000.0,SE3,SE3_bus_hydro
SE4_source_hydro,143000.0,SE4,SE4_bus_hydro
FR_source_windoffshore,7000.0,FR,FR_bus_el
NO2_source_solarPV,1152.763496143959,NO2,NO2_bus_el
NO3_source_solarPV,536.0,NO3,NO3_bus_el
NO4_source_solarPV,443.0,NO4,NO4_bus_el
NO5_source_solarPV,840.2365038560412,NO5,NO5_bus_el
NO5_source_windonshore,293.0077120822623,NO5,NO5_bus_el
PL_source_solarPV,24870.0,PL,PL_bus_el
PL_source_windoffshore,2250.0,PL,PL_bus_el
SE1_source_solarPV,388.0,SE1,SE1_bus_el
SE2_source_solarPV,663.0,SE2,SE2_bus_el
SE3_source_solarPV,3390.0,SE3,SE3_bus_el
SE4_source_solarPV,943.0,SE4,SE4_bus_el
SE4_source_windoffshore,93.23503351825283,SE4,SE4_bus_el
