,country,to,shortage_costs
DE_source_el_shortage,DE,DE_bus_el,160
AT_source_el_shortage,AT,AT_bus_el,160
BE_source_el_shortage,BE,BE_bus_el,160
CH_source_el_shortage,CH,CH_bus_el,160
CZ_source_el_shortage,CZ,CZ_bus_el,160
DK1_source_el_shortage,DK1,DK1_bus_el,160
DK2_source_el_shortage,DK2,DK2_bus_el,160
FR_source_el_shortage,FR,FR_bus_el,160
NL_source_el_shortage,NL,NL_bus_el,160
NO1_source_el_shortage,NO1,NO1_bus_el,160
NO2_source_el_shortage,NO2,NO2_bus_el,160
NO3_source_el_shortage,NO3,NO3_bus_el,160
NO4_source_el_shortage,NO4,NO4_bus_el,160
NO5_source_el_shortage,NO5,NO5_bus_el,160
PL_source_el_shortage,PL,PL_bus_el,160
SE1_source_el_shortage,SE1,SE1_bus_el,160
SE2_source_el_shortage,SE2,SE2_bus_el,160
SE3_source_el_shortage,SE3,SE3_bus_el,160
SE4_source_el_shortage,SE4,SE4_bus_el,160
AT_source_hydro_shortage,AT,AT_bus_hydro,160
CH_source_hydro_shortage,CH,CH_bus_hydro,160
FR_source_hydro_shortage,FR,FR_bus_hydro,160
NO1_source_hydro_shortage,NO1,NO1_bus_hydro,160
NO2_source_hydro_shortage,NO2,NO2_bus_hydro,160
NO3_source_hydro_shortage,NO3,NO3_bus_hydro,160
NO4_source_hydro_shortage,NO4,NO4_bus_hydro,160
NO5_source_hydro_shortage,NO5,NO5_bus_hydro,160
SE1_source_hydro_shortage,SE1,SE1_bus_hydro,160
SE2_source_hydro_shortage,SE2,SE2_bus_hydro,160
SE3_source_hydro_shortage,SE3,SE3_bus_hydro,160
SE4_source_hydro_shortage,SE4,SE4_bus_hydro,160
