,country,capacity_pump,capacity_turbine,type,bus_inflow,bus_outflow,nominal_storable_energy,max,loss_rate,efficiency_pump,efficiency_turbine,initial_storage_level,min_storage_level,max_storage_level,max_invest_pump,min_invest_pump,max_invest_turbine,min_invest_turbine,max_invest,min_invest,unit_lifetime_pump,unit_lifetime_turbine,unit_lifetime,invest_relation_input_output,invest_relation_input_capacity,invest_relation_output_capacity,max_load_factor,min_load_factor
DE_storage_el_PHS,DE,8680.75,4475.25,phes,DE_bus_el,DE_bus_el,25116.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
AT_storage_el_PHS,AT,6055.333,10842.850999999999,phes,AT_bus_el,AT_bus_el,18687.59908,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
BE_storage_el_PHS,BE,1150.0,1308.0,phes,BE_bus_el,BE_bus_el,468.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
CH_storage_el_PHS,CH,4593.0,13580.0,phes,CH_bus_el,CH_bus_el,16556.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
CZ_storage_el_PHS,CZ,1000.0,1050.0,phes,CZ_bus_el,CZ_bus_el,1460.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
DK1_storage_el_PHS,DK1,6.5712,6.5712,phes,DK1_bus_el,DK1_bus_el,26.2848,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
DK2_storage_el_PHS,DK2,0.037,0.037,phes,DK2_bus_el,DK2_bus_el,0.148,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
FR_storage_el_PHS,FR,5500.0,13697.0,phes,FR_bus_el,FR_bus_el,55188.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NL_storage_el_PHS,NL,38.0,38.0,phes,NL_bus_el,NL_bus_el,152.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO2_storage_el_PHS,NO2,595.6473007712083,14191.253213367612,phes,NO2_bus_el,NO2_bus_el,29573.80102827764,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO3_storage_el_PHS,NO3,83.6,5381.4,phes,NO3_bus_el,NO3_bus_el,10930.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO4_storage_el_PHS,NO4,1.3,5900.399999999999,phes,NO4_bus_el,NO4_bus_el,11803.399999999998,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO5_storage_el_PHS,NO5,434.16069922879177,10343.846786632392,phes,NO5_bus_el,NO5_bus_el,21556.01497172237,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
PL_storage_el_PHS,PL,1488.0,1413.0,phes,PL_bus_el,PL_bus_el,4132.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
SE1_storage_el_PHS,SE1,5215.0,5215.0,phes,SE1_bus_el,SE1_bus_el,20860.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
SE2_storage_el_PHS,SE2,8035.0,8035.0,phes,SE2_bus_el,SE2_bus_el,32140.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
SE3_storage_el_PHS,SE3,2586.0,2586.0,phes,SE3_bus_el,SE3_bus_el,10344.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
SE4_storage_el_PHS,SE4,348.0,348.0,phes,SE4_bus_el,SE4_bus_el,1392.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
AT_storage_el_reservoir,AT,100000.0,6571.104076433122,reservoir,AT_bus_hydro,AT_bus_el,1359023.0,1.0,0.0,1.0,0.85,0.3306566555532909,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.28,0.0
CH_storage_el_reservoir,CH,100000.0,10169.899999999998,reservoir,CH_bus_hydro,CH_bus_el,4938676.0,1.0,1e-05,1.0,0.85,0.5036637349767428,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.32,0.01
FR_storage_el_reservoir,FR,100000.0,12196.983313431163,reservoir,FR_bus_hydro,FR_bus_el,1711082.0,1.0,0.0,1.0,0.85,0.5210562673209116,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.45,0.0
NO1_storage_el_reservoir,NO1,100000.0,4633.769999999999,reservoir,NO1_bus_hydro,NO1_bus_el,4551000.0,1.0,0.0,1.0,0.85,0.5330696550208746,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.41,0.08
NO2_storage_el_reservoir,NO2,100000.0,10837.75999999999,reservoir,NO2_bus_hydro,NO2_bus_el,17539000.0,1.0,0.0,1.0,0.85,0.5412509265066423,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.87,0.07
