label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
DE_transformer_biomass_BNA0232b,BNA0232b,8.0,biomass,DE,0.38,chp,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,1.0,1.0,DE_bus_biomass,DE_bus_el
DE_transformer_biomass_BNA0520,BNA0520,78.0,biomass,DE,0.38,chp,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,1.0,1.0,DE_bus_biomass,DE_bus_el
DE_transformer_hardcoal_BNA0019,BNA0019,281.086,hardcoal,DE,0.438,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0020,BNA0020,362.2329,hardcoal,DE,0.438,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0082,BNA0082,103.7341,hardcoal,DE,0.3475,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0085a,BNA0085a,74.4543,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0086,BNA0086,235.9115,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0087,BNA0087,235.9115,hardcoal,DE,0.38,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0093,BNA0093,607.3466,hardcoal,DE,0.39,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0138,BNA0138,36.2233,hardcoal,DE,0.385,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
