label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el,technology
DE_transformer_biomass_BNA0520,BNA0520,78.0,biomass,DE,0.38,chp,1.0,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_biomass,DE_bus_el,
DE_transformer_hardcoal_BNA0019,BNA0019,336.0,hardcoal,DE,0.438,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA0144,BNA0144,119.0,hardcoal,DE,0.3975,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA0216b,BNA0216b,725.0,hardcoal,DE,0.45,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA0413c,BNA0413c,763.7,hardcoal,DE,0.46,emb,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA0518b,BNA0518b,834.0,hardcoal,DE,0.46,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA0644,BNA0644,255.0,hardcoal,DE,0.38,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA0646b,BNA0646b,843.0,hardcoal,DE,0.464,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA1405a,BNA1405a,20.7,hardcoal,DE,0.405,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA1508,BNA1508,735.0,hardcoal,DE,0.4595,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA1558,BNA1558,800.0,hardcoal,DE,0.465,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA1673,BNA1673,800.0,hardcoal,DE,0.4625,chp,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_hardcoal_BNA1674,BNA1674,731.0,hardcoal,DE,0.4625,emb,1.0,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el,
DE_transformer_lignite_BNA0115,BNA0115,875.0,lignite,DE,0.43,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0116,BNA0116,875.0,lignite,DE,0.43,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0124,BNA0124,857.0,lignite,DE,0.42,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0177,BNA0177,56.8,lignite,DE,0.395,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0179,BNA0179,90.8,lignite,DE,0.385,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0523,BNA0523,33.5,lignite,DE,0.375,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0543,BNA0543,75.3,lignite,DE,0.558,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0709,BNA0709,944.0,lignite,DE,0.43,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0788,BNA0788,465.0,lignite,DE,0.375,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0878,BNA0878,450.0,lignite,DE,0.465,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0879,BNA0879,450.0,lignite,DE,0.465,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0914,BNA0914,750.0,lignite,DE,0.41,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0915,BNA0915,750.0,lignite,DE,0.412,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1002,BNA1002,31.0,lignite,DE,0.385,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1141,BNA1141,14.5,lignite,DE,0.3496,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1164,BNA1164,23.22,lignite,DE,0.4096,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1185,BNA1185,20.3,lignite,DE,0.4336,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1293a,BNA1293a,10.0,lignite,DE,0.388,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1293b,BNA1293b,10.0,lignite,DE,0.388,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1400a,BNA1400a,23.3,lignite,DE,0.3832,ipp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1401a,BNA1401a,1060.0,lignite,DE,0.43,emb,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1401b,BNA1401b,1060.0,lignite,DE,0.43,emb,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1404,BNA1404,640.0,lignite,DE,0.437,emb,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1511a,BNA1511a,9.3,lignite,DE,0.3592,ipp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_natgas_BNA0015,BNA0015,65.0,natgas,DE,0.37,chp,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0016,BNA0016,50.0,natgas,DE,0.3046,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
