label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
AT_transformer_hardcoal,,537.25,hardcoal,AT,0.3924,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.1401,0.1401,AT_bus_hardcoal,AT_bus_el
AT_transformer_natgas,,4214.25,natgas,AT,0.5075,emb,1,0.1052,3.1572,1.4381,24.4667,2.2075,0.7445,61.394,29.633,21.1636,20,0.5,35.7061,0.0,0.122,0.122,AT_bus_natgas,AT_bus_el
AT_transformer_oil,,143.5759,oil,AT,0.374,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,41.0,0.0,1.0,1.0,AT_bus_oil,AT_bus_el
BE_transformer_biomass,,268.0,biomass,BE,0.38,emb,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,1.0,1.0,BE_bus_biomass,BE_bus_el
BE_transformer_hardcoal,,1524.7584,hardcoal,BE,0.4,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,3.0,3.0,BE_bus_hardcoal,BE_bus_el
BE_transformer_natgas,,5262.5542,natgas,BE,0.4611,emb,1,0.0995,3.3037,1.5358,24.747,2.2592,0.7502,64.3988,30.2831,21.3323,20,0.5,35.7108,0.0,16.0,16.0,BE_bus_natgas,BE_bus_el
BE_transformer_uranium,,5925.8,uranium,BE,0.33,emb,1,0.05,24.0,10.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20,0.5,28.0,0.0,2.0,2.0,BE_bus_uranium,BE_bus_el
CH_transformer_uranium,,2945.0,uranium,CH,0.33,emb,1,0.05,24.0,10.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20,0.5,28.0,0.2496,0.019,0.019,CH_bus_uranium,CH_bus_el
CZ_transformer_hardcoal,,982.0,hardcoal,CZ,0.4044,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.1548,0.0631,0.0631,CZ_bus_hardcoal,CZ_bus_el
CZ_transformer_lignite,,5685.0,lignite,CZ,0.3844,emb,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.2934,0.0503,0.0503,CZ_bus_lignite,CZ_bus_el
CZ_transformer_natgas,,1120.0,natgas,CZ,0.495,emb,1,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20,0.5,34.0,0.0679,0.2954,0.2954,CZ_bus_natgas,CZ_bus_el
CZ_transformer_otherfossil,,1125.0,otherfossil,CZ,0.4,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,43.0,0.0,3.0,3.0,CZ_bus_otherfossil,CZ_bus_el
CZ_transformer_uranium,,3961.0,uranium,CZ,0.33,emb,1,0.05,24.0,10.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20,0.5,28.0,0.4804,0.0083,0.0083,CZ_bus_uranium,CZ_bus_el
DK1_transformer_biomass,,125.0,biomass,DK1,0.38,emb,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,2.0,2.0,DK1_bus_biomass,DK1_bus_el
DK1_transformer_hardcoal,,1567.0,hardcoal,DK1,0.404,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.1908,0.1908,DK1_bus_hardcoal,DK1_bus_el
DK1_transformer_natgas,,748.0,natgas,DK1,0.3761,emb,1,0.0741,3.3969,1.5979,1.6783,0.8392,0.1,74.1546,31.786,18.8969,20,0.5,40.799,0.0,0.157,0.157,DK1_bus_natgas,DK1_bus_el
DK2_transformer_biomass,,70.0,biomass,DK2,0.38,emb,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,1.0,1.0,DK2_bus_biomass,DK2_bus_el
DK2_transformer_hardcoal,,744.0,hardcoal,DK2,0.3846,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0013,0.121,0.121,DK2_bus_hardcoal,DK2_bus_el
DK2_transformer_natgas,,286.0,natgas,DK2,0.3926,emb,1,0.053,4.0,2.0,5.2348,1.2022,0.191,85.7083,34.3484,19.8538,20,0.5,40.2924,0.0,0.1643,0.1643,DK2_bus_natgas,DK2_bus_el
