,chp,chp_natgas,chp_lignite,chp_hardcoal,ipp,FR_natgas,AT_natgas
2017-01-01 00:00:00,0.0,0.806,0.656,0.5223,0.7,,
2017-01-01 01:00:00,0.0,0.7649,0.721,0.5215,0.7,,
2017-01-01 02:00:00,0.0,0.7615,0.8474,0.5223,0.7,,
2017-01-01 03:00:00,0.0,0.762,0.8673,0.521,0.7,,
2017-01-01 04:00:00,0.0,0.762,0.8879,0.5223,0.7,,
2017-01-01 05:00:00,0.0467,0.7604,0.8906,0.5223,0.7,,
2017-01-01 06:00:00,0.0319,0.7699,0.813,0.5228,0.7,,
2017-01-01 07:00:00,0.0135,0.8048,0.716,0.5259,0.9,,
2017-01-01 08:00:00,0.0,0.8032,0.657,0.5259,0.9,,
2017-01-01 09:00:00,0.0,0.8032,0.6564,0.5259,0.9,,
2017-01-01 10:00:00,0.0,0.8032,0.6573,0.5259,0.9,,
2017-01-01 11:00:00,0.0,0.8032,0.6751,0.5254,0.9,,
2017-01-01 12:00:00,0.0,0.8032,0.815,0.5259,0.9,,
2017-01-01 13:00:00,0.0,0.8032,0.6481,0.5259,0.9,,
2017-01-01 14:00:00,0.0,0.8032,0.5131,0.5228,0.9,,
2017-01-01 15:00:00,0.0,0.8217,0.4347,0.5201,0.9,,
2017-01-01 16:00:00,0.0,0.8279,0.3956,0.5197,0.9,,
2017-01-01 17:00:00,0.0,0.8279,0.3966,0.5188,0.9,,
2017-01-01 18:00:00,0.0,0.8279,0.3956,0.5197,0.9,,
2017-01-01 19:00:00,0.0,0.8279,0.397,0.5197,0.9,,
2017-01-01 20:00:00,0.0,0.8279,0.3959,0.5215,0.9,,
2017-01-01 21:00:00,0.0,0.8279,0.3953,0.517,0.9,,
2017-01-01 22:00:00,0.0,0.8268,0.3971,0.517,0.7,,
2017-01-01 23:00:00,0.0,0.8274,0.4734,0.5175,0.7,,
2017-01-02 00:00:00,0.0,0.8279,0.6889,0.517,0.7,,
2017-01-02 01:00:00,0.0,0.8262,0.8864,0.5206,0.7,,
2017-01-02 02:00:00,0.0,0.8257,0.8877,0.5241,0.7,,
2017-01-02 03:00:00,0.0,0.8257,0.8751,0.5237,0.7,,
2017-01-02 04:00:00,0.0,0.8262,0.6917,0.5259,0.7,,
2017-01-02 05:00:00,0.0955,0.8459,0.8764,0.5343,0.7,,
2017-01-02 06:00:00,0.079,0.8476,0.8823,0.5396,0.7,,
2017-01-02 07:00:00,0.0603,0.8459,0.8873,0.5507,0.9,,
2017-01-02 08:00:00,0.0291,0.8459,0.8861,0.5543,0.9,,
2017-01-02 09:00:00,0.0,0.8459,0.8684,0.5543,0.9,,
2017-01-02 10:00:00,0.0,0.8443,0.8726,0.5543,0.9,,
2017-01-02 11:00:00,0.0,0.842,0.7276,0.5543,0.9,,
2017-01-02 12:00:00,0.0,0.8414,0.8887,0.5543,0.9,,
2017-01-02 13:00:00,0.0,0.8426,0.8897,0.5543,0.9,,
2017-01-02 14:00:00,0.0,0.8414,0.8909,0.5543,0.9,,
2017-01-02 15:00:00,0.0,0.8426,0.8683,0.5543,0.9,,
2017-01-02 16:00:00,0.0116,0.8454,0.8754,0.5543,0.9,,
2017-01-02 17:00:00,0.0155,0.8459,0.8873,0.5543,0.9,,
2017-01-02 18:00:00,0.0145,0.8459,0.8914,0.5543,0.9,,
2017-01-02 19:00:00,0.0,0.8476,0.8886,0.5543,0.9,,
2017-01-02 20:00:00,0.0,0.8454,0.8814,0.5543,0.9,,
2017-01-02 21:00:00,0.0,0.8437,0.6163,0.5543,0.9,,
2017-01-02 22:00:00,0.0,0.8437,0.4139,0.5543,0.7,,
2017-01-02 23:00:00,0.0,0.8229,0.4117,0.5379,0.7,,
2017-01-03 00:00:00,0.0,0.8195,0.3839,0.5383,0.7,,
