Scenario,Region,Year,Parameter,Unit,Value,Source,Comment
ALL,ALL,ALL,DemandResponse_Eta_Electricity_Cooling,percent,96,Gils 2014,
ALL,ALL,ALL,DemandResponse_Eta_Electricity_HVAC,percent,97,Gils 2014,
ALL,ALL,ALL,DemandResponse_Eta_Electricity_Shed,percent,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_Eta_Electricity_Shift,percent,99,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadAdvance_Electricity_Cooling,bool,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadAdvance_Electricity_HVAC,bool,0,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadAdvance_Electricity_Shed,bool,0,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadAdvance_Electricity_Shift,bool,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadDelay_Electricity_Cooling,bool,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadDelay_Electricity_HVAC,bool,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadDelay_Electricity_Shed,bool,0,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadDelay_Electricity_Shift,bool,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadShedding_Electricity_Cooling,bool,0,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadShedding_Electricity_HVAC,bool,0,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadShedding_Electricity_Shed,bool,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_LoadShedding_Electricity_Shift,bool,0,Gils 2014,
ALL,ALL,ALL,DemandResponse_MaxDuration_Electricity_Cooling,h,2,Gils 2014,
ALL,ALL,ALL,DemandResponse_MaxDuration_Electricity_HVAC,h,1,Gils 2014,
ALL,ALL,ALL,DemandResponse_MaxDuration_Electricity_Shed,h,4,Gils 2014,
ALL,ALL,ALL,DemandResponse_MaxDuration_Electricity_Shift,h,3,Gils 2014,
