Conversion;min_load_factor;max_load_factor;part_load_losses;load_grad_relative;min_uptime;min_downtime;cold_startup_time;warm_startup_time;hot_startup_time;cold_startup_costs;warm_startup_costs;hot_startup_costs;outages;initial_status;unit_lifetime
ST_biomass;0,5;1;0,05;0,04;5;7;2;1;0,1;0;0;0;20;0,5;41
ST_waste;0,5;1;0,05;0,04;5;7;2;1;0,1;0;0;0;20;0,5;35
ST_lignite;0,5;1;0,06;0,04;5;7;9;5;4;44,6;42;28,5;20;0,5;45
ST_uranium;0,5;1;0,05;0,05;24;10;1000;1000;1000;1000;1000;1000;20;0,5;28
ST_hardcoal;0,3;1;0,04;0,035;4;7;9;5;4;44,6;42;28,5;20;0,5;45
ST_mixedfuels;0,3;1;0,04;0,0375;4;7;9;5;4;44,6;42;28,5;20;0,5;43
ST_natgas;0,3;1;0,05;0,07;4;2;2;1;0,1;86,8;34,5;19,5;20;0,5;41
ST_oil;0,3;1;0,05;0,07;4;2;2;1;0,1;86,8;34,5;19,5;20;0,5;41
ST_otherfossil;0,3;1;0,05;0,04;4;2;2;1;0,1;86,8;34,5;19,5;20;0,5;43
GT_oil;0,4;1;0,17;0,15;1;0;0,4;0,2;0,1;23,9;21;16,5;20;0,5;40
GT_natgas;0,4;1;0,17;0,15;1;0;0,4;0,2;0,1;23,9;21;16,5;20;0,5;40
GT_otherfossil;0,4;1;0,17;0,15;1;0;0,4;0,2;0,1;23,9;21;16,5;20;0,5;40
CC_natgas;0,4;1;0,08;0,06;4;2;34;3;1;76;33;23;20;0,5;34
CC_oil;0,4;1;0,08;0,06;4;2;34;3;1;76;33;23;20;0,5;34
CC_otherfossil;0,4;1;0,08;0,06;4;2;34;3;1;76;33;23;20;0,5;34
CC_waste;0,4;1;0,08;0,06;4;2;34;3;1;76;33;23;20;0,5;35
M_biomass;0,15;1;0,12;0,10;1;0;0,5;0,3;0,1;0;0;0;20;0,5;27
M_natgas;0,15;1;0,12;0,10;1;0;0,5;0,3;0,1;0;0;0;20;0,5;30
M_otherfossil;0,15;1;0,12;0,10;1;0;0,5;0,3;0,1;0;0;0;20;0,5;28
REP_water;0,05;1;0;0,10;0;0;0;0;0;0;0;0;20;0,5;80
GT_biomass;0,15;1;0,17;0,15;1;0;0,4;0,2;0,1;23,9;21;16,5;20;0,5;40
GT_hydrogen;0,4;1;0,17;0,15;1;0;0,4;0,2;0,1;23,9;21;16,5;20;0,5;40
