Technology;Specification;Year;Unit;Value;Source
Utility PV;Min;2018;2018 €/KWh*a;0;n.a.
Utility PV;Min;2020;2018 €/KWh*a;0;n.a.
Utility PV;Min;2030;2018 €/KWh*a;0;n.a.
Utility PV;Min;2040;2018 €/KWh*a;0;n.a.
Utility PV;Min;2050;2018 €/KWh*a;0;n.a.
Utility PV;Max;2018;2018 €/KWh*a;0;n.a.
Utility PV;Max;2020;2018 €/KWh*a;0;n.a.
Utility PV;Max;2030;2018 €/KWh*a;0;n.a.
Utility PV;Max;2040;2018 €/KWh*a;0;n.a.
Utility PV;Max;2050;2018 €/KWh*a;0;n.a.
Utility PV;Mean;2018;2018 €/KWh*a;0;
Utility PV;Mean;2020;2018 €/KWh*a;0;
Utility PV;Mean;2030;2018 €/KWh*a;0;
Utility PV;Mean;2040;2018 €/KWh*a;0;
Utility PV;Mean;2050;2018 €/KWh*a;0;
Utility PV;Median;2018;2018 €/KWh*a;0;
Utility PV;Median;2020;2018 €/KWh*a;0;
Utility PV;Median;2030;2018 €/KWh*a;0;
Utility PV;Median;2040;2018 €/KWh*a;0;
Utility PV;Median;2050;2018 €/KWh*a;0;
Onshore wind;Min;2018;2018 €/KWh*a;0;n.a.
Onshore wind;Min;2020;2018 €/KWh*a;0;n.a.
Onshore wind;Min;2030;2018 €/KWh*a;0;n.a.
Onshore wind;Min;2040;2018 €/KWh*a;0;n.a.
Onshore wind;Min;2050;2018 €/KWh*a;0;n.a.
Onshore wind;Max;2018;2018 €/KWh*a;0.02;"M. C.; Blesl M.; Borggrefe F.; Brand H.; Buchmann T.; Fahl U.; Fuchs A.-L.; Gils H. C.; Hufendiek K.; Münkel A.; Püttner A.; Rosenberg M.; Scheben H.; Scheel O.; Scheele R.; Schmidt M.; Steurer M.; Wetzel M.; Wiesmeth Schick, Energiesystemanalyse Baden-Württemberg, 2018."
Onshore wind;Max;2020;2018 €/KWh*a;0.02;"M. C.; Blesl M.; Borggrefe F.; Brand H.; Buchmann T.; Fahl U.; Fuchs A.-L.; Gils H. C.; Hufendiek K.; Münkel A.; Püttner A.; Rosenberg M.; Scheben H.; Scheel O.; Scheele R.; Schmidt M.; Steurer M.; Wetzel M.; Wiesmeth Schick, Energiesystemanalyse Baden-Württemberg, 2018."
Onshore wind;Max;2030;2018 €/KWh*a;0.02;"M. C.; Blesl M.; Borggrefe F.; Brand H.; Buchmann T.; Fahl U.; Fuchs A.-L.; Gils H. C.; Hufendiek K.; Münkel A.; Püttner A.; Rosenberg M.; Scheben H.; Scheel O.; Scheele R.; Schmidt M.; Steurer M.; Wetzel M.; Wiesmeth Schick, Energiesystemanalyse Baden-Württemberg, 2018."
Onshore wind;Max;2040;2018 €/KWh*a;0.02;"M. C.; Blesl M.; Borggrefe F.; Brand H.; Buchmann T.; Fahl U.; Fuchs A.-L.; Gils H. C.; Hufendiek K.; Münkel A.; Püttner A.; Rosenberg M.; Scheben H.; Scheel O.; Scheele R.; Schmidt M.; Steurer M.; Wetzel M.; Wiesmeth Schick, Energiesystemanalyse Baden-Württemberg, 2018."
Onshore wind;Max;2050;2018 €/KWh*a;0.02;"M. C.; Blesl M.; Borggrefe F.; Brand H.; Buchmann T.; Fahl U.; Fuchs A.-L.; Gils H. C.; Hufendiek K.; Münkel A.; Püttner A.; Rosenberg M.; Scheben H.; Scheel O.; Scheele R.; Schmidt M.; Steurer M.; Wetzel M.; Wiesmeth Schick, Energiesystemanalyse Baden-Württemberg, 2018."
Onshore wind;Mean;2018;2018 €/KWh*a;0.01;
Onshore wind;Mean;2020;2018 €/KWh*a;0.01;
Onshore wind;Mean;2030;2018 €/KWh*a;0.01;
Onshore wind;Mean;2040;2018 €/KWh*a;0.01;
Onshore wind;Mean;2050;2018 €/KWh*a;0.01;
Onshore wind;Median;2018;2018 €/KWh*a;0.02;
Onshore wind;Median;2020;2018 €/KWh*a;0.02;
Onshore wind;Median;2030;2018 €/KWh*a;0.02;
Onshore wind;Median;2040;2018 €/KWh*a;0.01;
Onshore wind;Median;2050;2018 €/KWh*a;0.01;
Run of River;Min;2018;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Min;2020;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Min;2030;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Min;2040;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Min;2050;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2018;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2020;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
