Datum;"Preis ⌀";"Preis Bid";"Preis Ask"
2022-01-04;86.6;87.1;86.85
2022-01-05;91.15;91.65;91.4
2022-01-06;93.2;93.7;93.45
2022-01-07;90;90.5;90.25
2022-01-10;88.1;88.6;88.35
2022-01-11;88.8;89.3;89.05
2022-01-12;88.5;89;88.75
2022-01-13;97.75;98.25;98
2022-01-14;101.3;101.8;101.55
2022-01-17;104.25;104.75;104.5
2022-01-18;106.25;106.75;106.5
2022-01-19;105.5;106;105.75
2022-01-20;102.25;102.75;102.5
2022-01-21;105.25;105.75;105.5
2022-01-24;108.75;109.25;109
2022-01-25;110.75;111.25;111
2022-01-26;107.35;107.85;107.6
2022-01-27;105.75;106.25;106
2022-01-28;107;107.5;107.25
2022-01-31;105.6;106.1;105.85
2022-02-01;103.75;104.25;104
2022-02-02;103.5;104;103.75
2022-02-03;102.9;103.4;103.15
2022-02-04;107.25;107.75;107.5
2022-02-07;107.75;108.25;108
2022-02-08;110.5;111;110.75
2022-02-09;110.45;110.95;110.7
2022-02-10;106.25;106.75;106.5
2022-02-11;105.25;105.75;105.5
2022-02-14;108.25;108.75;108.5
2022-02-15;105.8;106.3;106.05
2022-02-16;104.5;105;104.75
2022-02-17;101.5;102;101.75
2022-02-18;103.25;103.75;103.5
2022-02-21;108.75;109.25;109
2022-02-22;110.75;111.25;111
2022-02-23;112.25;112.75;112.5
2022-02-24;129.25;129.75;129.5
2022-02-25;106.75;107.25;107
2022-02-28;120;120.5;120.25
2022-03-01;151.75;152.25;152
2022-03-02;208.5;209.5;209
2022-03-03;130;131;130.5
2022-03-04;162.75;163.25;163
2022-03-07;155;155.5;155.25
2022-03-08;141;141.5;141.25
2022-03-09;124.75;125.25;125
2022-03-10;101.4;101.9;101.65
2022-03-11;121.4;121.9;121.65
2022-03-14;117.25;117.75;117.5
2022-03-15;112.4;112.9;112.65
2022-03-16;109.75;110.25;110
2022-03-17;110.75;111.25;111
2022-03-18;112.25;112.75;112.5
2022-03-21;95.25;96.85;96.05
2022-03-22;122.1;122.6;122.35
2022-03-23;118.25;118.75;118.5
2022-03-24;106.4;106.9;106.65
2022-03-25;109.75;110.25;110
2022-03-28;123.25;123.75;123.5
2022-03-29;120.75;121.25;121
2022-03-30;125.35;125.85;125.6
2022-03-31;128.15;128.65;128.4
2022-04-01;131.15;131.65;131.4
2022-04-04;126.25;126.75;126.5
2022-04-05;137;137.5;137.25
2022-04-06;142.25;142.75;142.5
2022-04-07;136.25;136.75;136.5
2022-04-08;149;149.5;149.25
2022-04-11;147.5;148;147.75
2022-04-12;152.9;153.4;153.15
2022-04-13;154.75;155.25;155
2022-04-14;159.1;159.6;159.35
2022-04-19;159.75;160.25;160
2022-04-20;169.25;169.75;169.5
2022-04-21;170.75;171.25;171
2022-04-22;179.75;180.25;180
2022-04-25;183.5;184;183.75
2022-04-26;176.75;177.25;177
2022-04-27;175.5;176;175.75
2022-04-28;168;168.5;168.25
2022-04-29;168.95;169.45;169.2
2022-05-03;179.75;180.25;180
2022-05-04;192.5;193;192.75
2022-05-05;199.75;200.25;200
2022-05-06;196.5;197;196.75
2022-05-09;180.25;180.75;180.5
2022-05-10;181.25;181.75;181.5
2022-05-11;197.5;198;197.75
2022-05-12;201.5;202;201.75
2022-05-13;189.5;190;189.75
2022-05-16;197.75;198.25;198
2022-05-17;210.75;211.25;211
2022-05-18;207.4;207.9;207.65
2022-05-19;210.75;211.25;211
2022-05-20;229.8;230.3;230.05
2022-05-23;215.25;216.25;215.75
2022-05-24;207;207.5;207.25
2022-05-25;213.75;214.25;214
2022-05-26;208.75;209.25;209
2022-05-27;201;202;201.5
2022-05-30;202.05;202.55;202.3
2022-05-31;206.75;207.25;207
2022-06-01;195.5;196;195.75
2022-06-06;202.5;203;202.75
2022-06-07;200.4;200.9;200.65
2022-06-08;197.75;198.25;198
2022-06-09;199.75;200.25;200
2022-06-10;197.25;197.75;197.5
2022-06-13;196.25;196.75;196.5
2022-06-14;196.75;197.25;197
2022-06-15;209.5;210;209.75
2022-06-16;199.25;199.75;199.5
2022-06-17;207.25;207.75;207.5
2022-06-20;222;222.5;222.25
2022-06-21;223.5;224;223.75
2022-06-22;219.75;220.25;220
2022-06-23;223;223.5;223.25
2022-06-24;214;214.5;214.25
2022-06-27;211;211.5;211.25
2022-06-28;210.25;210.75;210.5
2022-06-29;208.75;209.25;209
2022-06-30;208.5;209;208.75
2022-07-01;207;207.5;207.25
2022-07-04;216.75;217.25;217
2022-07-05;216;216.5;216.25
2022-07-06;223.5;224.5;224
2022-07-07;229;229.5;229.25
2022-07-08;229.75;230.25;230
2022-07-11;235.75;236.25;236
2022-07-12;240.25;240.75;240.5
2022-07-13;237.75;238.25;238
2022-07-14;232;232.5;232.25
2022-07-15;230;230.5;230.25
2022-07-18;224.75;225.25;225
2022-07-19;229.75;230.25;230
2022-07-20;230.25;230.75;230.5
2022-07-21;230.75;231.25;231
2022-07-22;233.75;234.25;234
2022-07-25;243;243.5;243.25
2022-07-26;253.75;254.25;254
2022-07-27;245.75;246.25;246
2022-07-28;243;243.5;243.25
2022-07-29;238;238.5;238.25
2022-08-01;231.75;232.25;232
2022-08-02;235.5;236;235.75
2022-08-03;236.25;236.75;236.5
2022-08-04;219;219.5;219.25
2022-08-05;207.75;208.25;208
2022-08-08;204.5;205.5;205
2022-08-09;206.75;207.25;207
2022-08-10;228;228.5;228.25
2022-08-11;226;226.5;226.25
2022-08-12;230.75;231.25;231
2022-08-15;239.25;239.75;239.5
