Datum;Preis
2023-01-02;43.949
2023-01-03;44.669
2023-01-04;44.25
2023-01-05;45.825
2023-01-06;44.791
2023-01-09;45.686
2023-01-10;45.1
2023-01-11;44.84
2023-01-12;44.175
2023-01-13;42.209
2023-01-16;40.125
2023-01-17;40.3
2023-01-18;40.75
2023-01-19;40.891
2023-01-20;41.213
2023-01-23;40.555
2023-01-24;39.14
2023-01-25;38.667
2023-01-26;38.783
2023-01-27;38.998
2023-01-30;39.783
2023-01-31;39.806
2023-02-01;39.345
2023-02-02;39.334
2023-02-03;39.602
2023-02-06;39.193
2023-02-07;38.949
2023-02-08;37.925
2023-02-09;38.357
2023-02-10;38.475
2023-02-13;37.617
2023-02-14;38.35
2023-02-15;38.803
2023-02-16;37.541
2023-02-17;37.49
2023-02-20;36.507
2023-02-21;36.567
2023-02-22;35.813
2023-02-23;36.5
2023-02-24;36.76
2023-02-27;35.317
2023-02-28;35.589
2023-03-01;35.467
2023-03-02;34.898
2023-03-03;33.914
2023-03-06;33.773
2023-03-07;33.783
2023-03-08;33.825
2023-03-09;34.099
2023-03-10;36.194
2023-03-13;36.621
2023-03-14;34.59
2023-03-15;33.595
2023-03-16;34.845
2023-03-17;34.223
2023-03-20;33.728
2023-03-21;34.677
2023-03-22;34.264
2023-03-23;34.701
2023-03-24;35.025
2023-03-27;34.996
2023-03-28;35.454
2023-03-29;35.589
2023-03-30;36.613
2023-03-31;38.517
2023-04-03;40.271
2023-04-04;38.879
2023-04-05;38.285
2023-04-06;37.7
2023-04-07;37.718
2023-04-10;37.7
2023-04-11;38.748
2023-04-12;39.269
2023-04-13;38.667
2023-04-14;38.603
2023-04-17;39.24
2023-04-18;39.644
2023-04-19;39.103
2023-04-20;39.2
2023-04-21;39.515
2023-04-24;39.385
2023-04-25;39.283
2023-04-26;39.867
2023-04-27;40.902
2023-04-28;40.897
2023-05-01;42.52
2023-05-02;39.68
2023-05-03;39.287
2023-05-04;39.447
2023-05-05;39.4
2023-05-08;39.858
2023-05-09;40.276
2023-05-10;40.293
2023-05-11;40.235
2023-05-12;39.505
2023-05-15;39.199
2023-05-16;38.98
2023-05-17;39.458
2023-05-18;38.441
2023-05-19;37.745
2023-05-22;37.148
2023-05-23;37.586
2023-05-24;37.181
2023-05-25;35.962
2023-05-26;35.559
2023-05-29;35.489
2023-05-30;35.27
2023-05-31;36.033
2023-06-01;35.239
2023-06-02;35.241
2023-06-05;36.585
2023-06-06;36.049
2023-06-07;36.429
2023-06-08;37.516
2023-06-09;38.287
2023-06-12;37.875
2023-06-13;38.243
2023-06-14;38.774
2023-06-15;39.173
2023-06-16;37.387
2023-06-19;37.353
2023-06-20;37.601
2023-06-21;37.05
2023-06-22;35.413
2023-06-23;34.48
2023-06-26;33.489
2023-06-27;33.745
2023-06-28;34.572
2023-06-29;35.251
2023-06-30;36.291
2023-07-03;35.788
2023-07-04;36.066
2023-07-05;36.86
2023-07-06;37.154
2023-07-07;37.403
2023-07-10;35.739
2023-07-11;34.91
2023-07-12;34.554
2023-07-13;35.153
2023-07-14;35.938
2023-07-17;35.95
2023-07-18;37.119
2023-07-19;37.63
2023-07-20;38.15
2023-07-21;38.045
2023-07-24;38.725
2023-07-25;38.644
2023-07-26;38.143
2023-07-27;37.729
2023-07-28;37.465
2023-07-31;37.373
2023-08-01;37.123
2023-08-02;37.201
2023-08-03;37.653
2023-08-04;37.217
2023-08-07;37.613
2023-08-08;38.199
2023-08-09;38.683
2023-08-10;38.017
2023-08-11;38.149
2023-08-14;38.199
2023-08-15;39.593
2023-08-16;38.95
2023-08-17;38.819
2023-08-18;39.178
2023-08-21;39.444
2023-08-22;39.199
2023-08-23;38.701
2023-08-24;37.532
2023-08-25;38.15
2023-08-28;39.577
2023-08-29;38.967
2023-08-30;39.65
2023-08-31;39.058
2023-09-01;39.675
2023-09-04;39.419
2023-09-05;39.862
2023-09-06;39.657
2023-09-07;39.715
2023-09-08;40.425
2023-09-11;40.923
2023-09-12;40.673
2023-09-13;40.984
2023-09-14;40.514
2023-09-15;40.627
2023-09-18;40.173
2023-09-19;40.162
2023-09-20;39.47
2023-09-21;39.157
2023-09-22;39.047
2023-09-25;39.731
2023-09-26;38.627
2023-09-27;38.37
2023-09-28;38.628
2023-09-29;39.016
2023-10-02;38.512
2023-10-03;37.133
2023-10-04;37.655
2023-10-05;37.206
2023-10-06;37.813
2023-10-09;39.223
2023-10-10;40.237
2023-10-11;39.779
2023-10-12;39.597
2023-10-13;40.034
2023-10-16;39.126
2023-10-17;39.143
2023-10-18;38.826
2023-10-19;39.436
2023-10-20;39.543
2023-10-23;39.858
2023-10-24;39.528
2023-10-25;39.607
2023-10-26;39.753
2023-10-27;39.77
2023-10-30;38.929
2023-10-31;38.658
2023-11-01;38.254
