fuel;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
hardcoal;12,2;8,23955774;15,91;11,73095823;9,731601182;13,2;13,5;13,8;14,1;14,4;14,7;15;15,3;15,6;15,9;16,2;16,4;16,6;16,8;17;17,2;17,4;17,6;17,8;18;18,2;18,4;18,6;18,8;19;19,2;19,4;19,6;19,8;20;20,2
lignite;6,12;6,12;6,1;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12;6,12
biomass;20;20,2;0;20,6;20,8;21;21,2;21,4;21,6;21,8;22;22,2;22,4;22,6;22,8;23;23,2;23,4;23,6;23,8;24;24,2;24,4;24,6;24,8;25;25,2;25,4;25,6;25,8;26;26,2;26,4;26,6;26,8;27
natgas;25;24,4;25;26,3;22,21617328;27;27,7;28,4;29,1;29,8;30,5;31;31,5;32;32,5;33;33,4;33,8;34,2;34,6;35;35,8;36,6;37,4;38,2;39;39,7;40,4;41,1;41,8;42,5;43;43,5;44;44,5;45
mixedfuels;8,6470092;8,6470092;27,82;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092;8,6470092
otherfossil;21,7868;21,7868;21;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868;21,7868
water;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
uranium;3,45;3,4;3;3,4;3,35;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3
waste;15,456845;15,456845;0;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845;15,456845
oil;43,56;37,76174835;44,6;54,35662681;52,79465948;47,88;48,996;50,112;51,228;52,344;53,46;54,576;55,692;56,808;57,924;59,04;60,516;61,992;63,468;64,944;66,42;67,896;69,372;70,848;72,324;73,8;75,42;77,04;78,66;80,28;81,9;83,52;85,14;86,76;88,38;90
otherRES;20;20,2;0;20,6;20,8;21;21,2;21,4;21,6;21,8;22;22,2;22,4;22,6;22,8;23;23,2;23,4;23,6;23,8;24;24,2;24,4;24,6;24,8;25;25,2;25,4;25,6;25,8;26;26,2;26,4;26,6;26,8;27
solarthermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
