fuel;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
hardcoal;3,988831133;3,895337016;5;3,708348781;3,614854663;3,521360546;3,427866429;3,334372311;3,240878194;3,147384076;3,053889959;2,960395842;2,866901724;2,773407607;2,679913489;2,586419372;2,492925255;2,399431137;2,30593702;2,212442902;2,118948785;2,025454668;1,93196055;1,838466433;1,744972315;1,651478198;1,557984081;1,464489963;1,370995846;1,277501728;1,184007611;1,090513494;0,997019376;0,903525259;0,810031141;0,716537024
lignite;4,214652361;4,116915543;7;3,921441907;3,823705089;3,725968271;3,628231453;3,530494635;3,432757816;3,335020998;3,23728418;3,139547362;3,041810544;2,944073726;2,846336908;2,74860009;2,650863272;2,553126454;2,455389635;2,357652817;2,259915999;2,162179181;2,064442363;1,966705545;1,868968727;1,771231909;1,673495091;1,575758273;1,478021454;1,380284636;1,282547818;1,184811;1,087074182;0,989337364;0,891600546;0,793863728
biomass;1,954416785;1,901702131;4;1,796272823;1,743558169;1,690843515;1,638128861;1,585414206;1,532699552;1,479984898;1,427270244;1,37455559;1,321840936;1,269126282;1,216411628;1,163696974;1,11098232;1,058267665;1,005553011;0,952838357;0,900123703;0,847409049;0,794694395;0,741979741;0,689265087;0,636550433;0,583835779;0,531121124;0,47840647;0,425691816;0,372977162;0,320262508;0,267547854;0,2148332;0,162118546;0,109403892
natgas;2,379023423;2,313583775;4;2,182704478;2,117264829;2,051825181;1,986385533;1,920945884;1,855506236;1,790066587;1,724626939;1,659187291;1,593747642;1,528307994;1,462868345;1,397428697;1,331989049;1,2665494;1,201109752;1,135670103;1,070230455;1,004790807;0,939351158;0,87391151;0,808471861;0,743032213;0,677592565;0,612152916;0,546713268;0,481273619;0,415833971;0,350394323;0,284954674;0,219515026;0,154075377;0,088635729
mixedfuels;3,527502306;3,441945444;5;3,270831722;3,185274861;3,099717999;3,014161138;2,928604277;2,843047415;2,757490554;2,671933693;2,586376831;2,50081997;2,415263109;2,329706248;2,244149386;2,158592525;2,073035664;1,987478802;1,901921941;1,81636508;1,730808218;1,645251357;1,559694496;1,474137635;1,388580773;1,303023912;1,217467051;1,131910189;1,046353328;0,960796467;0,875239605;0,789682744;0,704125883;0,618569022;0,53301216
otherfossil;3,527502306;3,441945444;5;3,270831722;3,185274861;3,099717999;3,014161138;2,928604277;2,843047415;2,757490554;2,671933693;2,586376831;2,50081997;2,415263109;2,329706248;2,244149386;2,158592525;2,073035664;1,987478802;1,901921941;1,81636508;1,730808218;1,645251357;1,559694496;1,474137635;1,388580773;1,303023912;1,217467051;1,131910189;1,046353328;0,960796467;0,875239605;0,789682744;0,704125883;0,618569022;0,53301216
water;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
uranium;5;5;8;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
waste;3,527502306;3,441945444;5;3,270831722;3,185274861;3,099717999;3,014161138;2,928604277;2,843047415;2,757490554;2,671933693;2,586376831;2,50081997;2,415263109;2,329706248;2,244149386;2,158592525;2,073035664;1,987478802;1,901921941;1,81636508;1,730808218;1,645251357;1,559694496;1,474137635;1,388580773;1,303023912;1,217467051;1,131910189;1,046353328;0,960796467;0,875239605;0,789682744;0,704125883;0,618569022;0,53301216
oil;2,379023423;2,313583775;3;2,182704478;2,117264829;2,051825181;1,986385533;1,920945884;1,855506236;1,790066587;1,724626939;1,659187291;1,593747642;1,528307994;1,462868345;1,397428697;1,331989049;1,2665494;1,201109752;1,135670103;1,070230455;1,004790807;0,939351158;0,87391151;0,808471861;0,743032213;0,677592565;0,612152916;0,546713268;0,481273619;0,415833971;0,350394323;0,284954674;0,219515026;0,154075377;0,088635729
otherRES;1,954416785;1,901702131;4;1,796272823;1,743558169;1,690843515;1,638128861;1,585414206;1,532699552;1,479984898;1,427270244;1,37455559;1,321840936;1,269126282;1,216411628;1,163696974;1,11098232;1,058267665;1,005553011;0,952838357;0,900123703;0,847409049;0,794694395;0,741979741;0,689265087;0,636550433;0,583835779;0,531121124;0,47840647;0,425691816;0,372977162;0,320262508;0,267547854;0,2148332;0,162118546;0,109403892
solarthermal;1,954416785;1,901702131;4;1,796272823;1,743558169;1,690843515;1,638128861;1,585414206;1,532699552;1,479984898;1,427270244;1,37455559;1,321840936;1,269126282;1,216411628;1,163696974;1,11098232;1,058267665;1,005553011;0,952838357;0,900123703;0,847409049;0,794694395;0,741979741;0,689265087;0,636550433;0,583835779;0,531121124;0,47840647;0,425691816;0,372977162;0,320262508;0,267547854;0,2148332;0,162118546;0,109403892
