new_timeindex,tcs+hoho_cluster_shift_only,hoho_cluster_shift_shed,hoho_cluster_shift_only,tcs_cluster_shift_only,ind_cluster_shed_only,ind_cluster_shift_shed,ind_cluster_shift_only
2017-01-01 00:00:00,0.5167,0.4,0.6664,0.8802,0,0.9631,0.9938
2017-01-01 01:00:00,0.5167,0.4,0.7507,0.8802,0,0.9631,0.9938
2017-01-01 02:00:00,0.5167,0.4,0.7692,0.8802,0,0.9631,0.9938
2017-01-01 03:00:00,0.5167,0.4,0.7906,0.8802,0,0.9631,0.9938
2017-01-01 04:00:00,0.5167,0.4,0.7631,0.8802,0,0.9631,0.9938
2017-01-01 05:00:00,0.5167,0.4,0.7369,0.8766,0,0.9631,0.9938
2017-01-01 06:00:00,0.5167,0.32,0.6306,0.7387,0,0.9631,0.8636
2017-01-01 07:00:00,0.5167,0.32,0.7003,0.7853,0,0.9631,0.8636
2017-01-01 08:00:00,0.5167,0.32,0.658,0.8353,0,0.9631,0.8636
2017-01-01 09:00:00,0.5167,0.32,0.7506,0.8353,0,0.9631,0.8636
2017-01-01 10:00:00,0.5167,0.32,0.5428,0.8353,0,0.9631,0.8636
2017-01-01 11:00:00,0.5167,0.32,0.5591,0.8353,0,0.9631,0.8636
2017-01-01 12:00:00,0.5167,0.32,0.4099,0.8353,0,0.9631,0.8636
2017-01-01 13:00:00,0.5167,0.32,0.48,0.8353,0,0.9631,0.8636
2017-01-01 14:00:00,0.5167,0.32,0.3092,0.8353,0,0.9631,0.8636
2017-01-01 15:00:00,0.5167,0.32,0.5365,0.8353,0,0.9631,0.8636
2017-01-01 16:00:00,0.5167,0.32,0.6365,0.8353,0,0.9631,0.8636
2017-01-01 17:00:00,0.5167,0.32,0.6046,0.8371,0,0.9631,0.8636
2017-01-01 18:00:00,0.5167,0.4,0.4554,0.9732,0,0.9631,0.9938
2017-01-01 19:00:00,0.5167,0.4,0.3679,0.9251,0,0.9631,0.9938
2017-01-01 20:00:00,0.5167,0.4,0.426,0.8802,0,0.9631,0.9938
2017-01-01 21:00:00,0.5167,0.4,0.3616,0.8802,0,0.9631,0.9938
2017-01-01 22:00:00,0.5167,0.4,0.4251,0.8802,0,0.9631,0.9938
