new_timeindex,tcs+hoho_cluster_shift_only,hoho_cluster_shift_shed,hoho_cluster_shift_only,tcs_cluster_shift_only,ind_cluster_shed_only,ind_cluster_shift_shed,ind_cluster_shift_only
2017-01-01 00:00:00,0.0077,0.333,0.6987,0.3151,1.0,0.7703,0.9353
2017-01-01 01:00:00,0.0077,0.333,0.633,0.3151,1.0,0.7703,0.9409
2017-01-01 02:00:00,0.0077,0.333,0.6096,0.3151,1.0,0.7703,0.9522
2017-01-01 03:00:00,0.0077,0.333,0.6002,0.3151,1.0,0.7703,0.9522
2017-01-01 04:00:00,0.0077,0.4228,0.619,0.3151,1.0,0.7703,0.9522
2017-01-01 05:00:00,0.0077,0.6002,0.6237,0.3191,1.0,0.7703,0.9353
2017-01-01 06:00:00,0.0077,0.989,0.6753,0.3298,1.0,0.7703,0.9635
2017-01-01 07:00:00,0.0077,1.0,0.7646,0.259,1.0,0.7703,0.9409
2017-01-01 08:00:00,0.0077,1.0,0.7791,0.1884,1.0,0.7703,0.9409
2017-01-01 09:00:00,0.0077,1.0,0.7902,0.1884,1.0,0.7703,0.9409
2017-01-01 10:00:00,0.0077,1.0,0.8066,0.1884,1.0,0.7703,0.9409
2017-01-01 11:00:00,0.0077,1.0,0.8019,0.1884,1.0,0.7703,0.9465
2017-01-01 12:00:00,0.0077,1.0,0.8154,0.1884,1.0,0.7703,0.9465
2017-01-01 13:00:00,0.0077,1.0,0.8195,0.1884,1.0,0.7703,0.9522
2017-01-01 14:00:00,0.0077,1.0,0.8614,0.1884,1.0,0.7703,0.9578
2017-01-01 15:00:00,0.0077,1.0,0.8279,0.1884,1.0,0.7703,0.9635
2017-01-01 16:00:00,0.0077,1.0,0.7852,0.1884,1.0,0.7703,0.9692
2017-01-01 17:00:00,0.0077,1.0,0.8089,0.1865,1.0,0.7703,0.9635
2017-01-01 18:00:00,0.0077,1.0,0.9173,0.1777,1.0,0.7703,0.907
2017-01-01 19:00:00,0.0077,1.0,0.9991,0.2463,1.0,0.7703,0.907
2017-01-01 20:00:00,0.0077,1.0,0.9936,0.3151,1.0,0.7703,0.9296
2017-01-01 21:00:00,0.0077,1.0,0.9543,0.3151,1.0,0.7703,0.9466
2017-01-01 22:00:00,0.0077,0.9781,0.8769,0.3151,1.0,0.7703,0.9466
2017-01-01 23:00:00,0.0077,0.6002,0.769,0.3151,1.0,0.7703,0.9466
2017-01-02 00:00:00,0.8078,0.333,0.6987,0.8135,1.0,0.7703,0.9672
2017-01-02 01:00:00,0.8171,0.333,0.633,0.8135,1.0,0.7703,0.9735
2017-01-02 02:00:00,0.8543,0.333,0.6096,0.8135,1.0,0.7703,0.986
2017-01-02 03:00:00,0.8357,0.333,0.6002,0.8135,1.0,0.7703,0.986
2017-01-02 04:00:00,0.7985,0.4228,0.619,0.8135,1.0,0.7703,0.986
2017-01-02 05:00:00,0.7055,0.6002,0.6237,0.8215,1.0,0.7703,0.9672
2017-01-02 06:00:00,0.258,0.989,0.6757,0.9252,1.0,0.7703,0.9344
2017-01-02 07:00:00,0.1278,1.0,0.7658,0.9492,1.0,0.7703,0.9093
2017-01-02 08:00:00,0.072,1.0,0.7816,0.8751,1.0,0.7703,0.9093
2017-01-02 09:00:00,0.1092,1.0,0.7931,0.8237,1.0,0.7703,0.9093
