new_timeindex,tcs+hoho_cluster_shift_only,hoho_cluster_shift_shed,hoho_cluster_shift_only,tcs_cluster_shift_only,ind_cluster_shed_only,ind_cluster_shift_shed,ind_cluster_shift_only
2017-01-01 00:00:00,0.2349,0.3496,0.3496,0.2191,1.0,0.9297,0.783
2017-01-01 01:00:00,0.2607,0.271,0.271,0.2219,1.0,0.9297,0.783
2017-01-01 02:00:00,0.2748,0.2317,0.2317,0.2169,1.0,0.9297,0.783
2017-01-01 03:00:00,0.2689,0.2119,0.2119,0.2081,1.0,0.9297,0.783
2017-01-01 04:00:00,0.2584,0.2042,0.2042,0.2043,1.0,0.9297,0.783
2017-01-01 05:00:00,0.2179,0.2152,0.2152,0.2327,1.0,0.9297,0.783
2017-01-01 06:00:00,0.0994,0.2663,0.2663,0.2681,1.0,0.9297,0.8219
2017-01-01 07:00:00,0.2161,0.4287,0.4287,0.274,1.0,0.9297,0.8219
2017-01-01 08:00:00,0.1386,0.6992,0.6992,0.2783,1.0,0.9297,0.8219
2017-01-01 09:00:00,0.2445,0.8494,0.8494,0.2809,1.0,0.9297,0.8219
2017-01-01 10:00:00,0.1211,0.8401,0.8401,0.2875,1.0,0.9297,0.8219
2017-01-01 11:00:00,0.1549,0.9119,0.9119,0.2875,1.0,0.9297,0.8219
2017-01-01 12:00:00,0.1067,0.8747,0.8747,0.2895,1.0,0.9297,0.8219
2017-01-01 13:00:00,0.1772,0.7395,0.7395,0.293,1.0,0.9297,0.8219
2017-01-01 14:00:00,0.158,0.677,0.677,0.2858,1.0,0.9297,0.8219
2017-01-01 15:00:00,0.1624,0.6839,0.6839,0.275,1.0,0.9297,0.8219
2017-01-01 16:00:00,0.1045,0.783,0.783,0.2749,1.0,0.9297,0.8219
2017-01-01 17:00:00,0.2414,0.9125,0.9125,0.2713,1.0,0.9297,0.8219
2017-01-01 18:00:00,0.1409,0.9107,0.9107,0.2748,1.0,0.9297,0.783
