,,DE_BadenWue,DE_Bayern,DE_Berlin,DE_Brandenburg,DE_Bremen,DE_Hamburg,DE_Hessen,DE_MeckPom,DE_Niedersachsen,DE_NordRheinWest,DE_RheinlPfalz,DE_Saarland,DE_Sachsen,DE_SachsenAnhalt,DE_SchleswHolst,DE_Thueringen,Austria,Belgium,Czech_Republic,Denmark,France,Italy,Luxembourg,Netherlands,Norway,Poland,Sweden,Switzerland
BEV,t0001,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0002,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0003,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0004,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0005,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0006,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0007,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0008,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0009,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0010,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0011,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0012,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0013,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0014,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0015,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0016,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0017,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0018,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0019,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0020,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0021,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0022,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0023,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0024,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0025,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0026,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0027,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0028,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0029,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0030,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0,0,0,0,0,0,0,0,0,0,0,0
