"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CH","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","337","","29","916","n/e","1742","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","149","","29","1019","n/e","1743","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","152","","29","685","n/e","1742","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","157","","28","591","n/e","1741","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","147","","28","563","n/e","1742","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","118","","28","505","n/e","1741","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","","28","502","n/e","1740","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","82","","28","552","n/e","1740","n/e","n/e","0","n/e","n/e","2"
"BZN|CH","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","","28","506","n/e","1739","n/e","n/e","2","n/e","n/e","2"
"BZN|CH","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","","28","699","n/e","1741","n/e","n/e","19","n/e","n/e","3"
