"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CZ","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","199","4278","215","250","453","6","n/e","n/e","n/e","0","1","86","18","n/e","3439","88","287","0","17","n/e","90"
"BZN|CZ","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","197","4238","219","255","441","6","n/e","n/e","n/e","0","311","86","18","n/e","3439","88","286","0","17","n/e","83"
"BZN|CZ","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","195","4142","212","258","447","6","n/e","n/e","n/e","0","315","86","17","n/e","3441","88","286","0","17","n/e","83"
"BZN|CZ","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","197","4269","217","260","447","6","n/e","n/e","n/e","0","603","86","17","n/e","3442","88","285","0","17","n/e","78"
"BZN|CZ","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","195","4173","207","255","443","6","n/e","n/e","n/e","0","526","86","17","n/e","3443","88","285","0","17","n/e","74"
"BZN|CZ","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","197","4187","209","258","443","6","n/e","n/e","n/e","0","527","90","17","n/e","3443","88","284","0","17","n/e","67"
"BZN|CZ","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","197","4264","211","267","452","6","n/e","n/e","n/e","0","934","89","29","n/e","3444","91","282","0","16","n/e","60"
"BZN|CZ","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","198","4218","217","268","456","6","n/e","n/e","n/e","0","933","90","30","n/e","3445","95","286","9","16","n/e","73"
"BZN|CZ","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","198","4114","212","271","453","6","n/e","n/e","n/e","0","522","89","30","n/e","3447","95","287","50","16","n/e","77"
"BZN|CZ","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","198","4219","216","274","458","6","n/e","n/e","n/e","0","411","91","18","n/e","3448","96","288","225","16","n/e","78"
