"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","288","n/e","n/e","16","228","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","369","374"
"BZN|DK2","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","299","n/e","n/e","15","205","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","359","365"
"BZN|DK2","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","288","n/e","n/e","16","201","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","361","365"
"BZN|DK2","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","288","n/e","n/e","16","201","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","357","406"
"BZN|DK2","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","290","n/e","n/e","16","200","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","72","362","404"
"BZN|DK2","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","287","n/e","n/e","17","182","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","352","413"
"BZN|DK2","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","292","n/e","n/e","17","152","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","360","391"
"BZN|DK2","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","293","n/e","n/e","17","178","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","360","398"
"BZN|DK2","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","290","n/e","n/e","17","274","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","363","382"
"BZN|DK2","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","287","n/e","n/e","17","289","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","78","362","349"
"BZN|DK2","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","279","n/e","n/e","16","293","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","81","362","303"
"BZN|DK2","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","271","n/e","n/e","17","294","10","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","81","357","251"
"BZN|DK2","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","276","n/e","n/e","18","309","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","80","351","183"
"BZN|DK2","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","272","n/e","n/e","18","298","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","81","344","140"
"BZN|DK2","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","274","n/e","n/e","18","299","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","81","324","88"
"BZN|DK2","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","288","n/e","n/e","18","305","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","81","168","91"
"BZN|DK2","01.01.2017 16:00 - 01.01.2017 17:00 (CET)","274","n/e","n/e","18","329","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","161","83"
"BZN|DK2","01.01.2017 17:00 - 01.01.2017 18:00 (CET)","284","n/e","n/e","17","339","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","42","75"
"BZN|DK2","01.01.2017 18:00 - 01.01.2017 19:00 (CET)","276","n/e","n/e","18","364","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","31","87"
"BZN|DK2","01.01.2017 19:00 - 01.01.2017 20:00 (CET)","273","n/e","n/e","18","362","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","67","90"
"BZN|DK2","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","270","n/e","n/e","18","361","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","82","79","103"
"BZN|DK2","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","274","n/e","n/e","18","367","11","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","102","114"
"BZN|DK2","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","269","n/e","n/e","18","354","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","145","110"
"BZN|DK2","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","277","n/e","n/e","17","345","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","77","137","94"
"BZN|DK2","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","278","n/e","n/e","18","340","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","75","134","96"
"BZN|DK2","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","294","n/e","n/e","18","290","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","141","109"
"BZN|DK2","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","297","n/e","n/e","18","295","10","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","76","115","116"
"BZN|DK2","02.01.2017 03:00 - 02.01.2017 04:00 (CET)","291","n/e","n/e","19","296","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","75","107","118"
"BZN|DK2","02.01.2017 04:00 - 02.01.2017 05:00 (CET)","286","n/e","n/e","18","288","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","130","109"
"BZN|DK2","02.01.2017 05:00 - 02.01.2017 06:00 (CET)","279","n/e","n/e","22","293","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","115","112"
"BZN|DK2","02.01.2017 06:00 - 02.01.2017 07:00 (CET)","284","n/e","n/e","63","307","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","95","108"
"BZN|DK2","02.01.2017 07:00 - 02.01.2017 08:00 (CET)","291","n/e","n/e","105","321","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","80","118"
"BZN|DK2","02.01.2017 08:00 - 02.01.2017 09:00 (CET)","291","n/e","n/e","111","329","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","70","125"
"BZN|DK2","02.01.2017 09:00 - 02.01.2017 10:00 (CET)","294","n/e","n/e","110","369","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","80","76","107"
"BZN|DK2","02.01.2017 10:00 - 02.01.2017 11:00 (CET)","310","n/e","n/e","109","375","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","80","58","76"
"BZN|DK2","02.01.2017 11:00 - 02.01.2017 12:00 (CET)","308","n/e","n/e","107","372","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","80","45","77"
