"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FR","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","285","n/e","n/e","7395","1456","220","n/e","n/e","n/e","464","","3192","3154","n/e","53322","n/e","n/e","0","272","n/e","604"
"BZN|FR","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","286","n/e","n/e","7298","1039","232","n/e","n/e","n/e","284","","3048","2338","n/e","53290","n/e","n/e","0","273","n/e","633"
"BZN|FR","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","286","n/e","n/e","6935","1052","232","n/e","n/e","n/e","","588","2866","2311","n/e","53132","n/e","n/e","0","273","n/e","627"
"BZN|FR","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","286","n/e","n/e","6191","1005","232","n/e","n/e","n/e","","1165","2862","2240","n/e","52982","n/e","n/e","0","273","n/e","609"
"BZN|FR","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","286","n/e","n/e","5961","1018","232","n/e","n/e","n/e","","1347","2730","1726","n/e","53086","n/e","n/e","0","273","n/e","637"
"BZN|FR","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","286","n/e","n/e","5995","1050","232","n/e","n/e","n/e","","1600","2523","1577","n/e","53133","n/e","n/e","0","274","n/e","663"
"BZN|FR","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","286","n/e","n/e","5934","1005","231","n/e","n/e","n/e","","1644","2504","1427","n/e","53047","n/e","n/e","0","274","n/e","683"
"BZN|FR","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","286","n/e","n/e","5984","996","232","n/e","n/e","n/e","","1827","2584","1420","n/e","53037","n/e","n/e","0","274","n/e","749"
"BZN|FR","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","286","n/e","n/e","6004","998","232","n/e","n/e","n/e","","1739","2710","1352","n/e","53022","n/e","n/e","99","274","n/e","801"
"BZN|FR","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","285","n/e","n/e","6109","1048","231","n/e","n/e","n/e","","1590","2721","1727","n/e","53067","n/e","n/e","423","274","n/e","832"
