"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","289","n/e","0","8199","1565","1","n/e","n/e","686","0","375","1860","391","n/e","n/e","12171","n/e","0","29","n/e","1044"
"Italy (IT)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","285","n/e","0","8177","1567","0","n/e","n/e","687","0","871","1448","237","n/e","n/e","12057","n/e","0","28","n/e","870"
"Italy (IT)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","281","n/e","0","7801","1565","0","n/e","n/e","689","0","929","1212","217","n/e","n/e","11491","n/e","0","28","n/e","740"
"Italy (IT)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","281","n/e","0","6298","1559","0","n/e","n/e","689","0","1376","1105","73","n/e","n/e","10372","n/e","0","29","n/e","631"
"Italy (IT)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","282","n/e","0","6117","1564","0","n/e","n/e","690","0","1496","1102","71","n/e","n/e","9258","n/e","0","29","n/e","614"
"Italy (IT)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","281","n/e","0","6249","1563","0","n/e","n/e","690","0","1593","1080","72","n/e","n/e","9467","n/e","0","30","n/e","577"
"Italy (IT)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","283","n/e","0","6214","1560","0","n/e","n/e","690","0","1589","1110","73","n/e","n/e","10263","n/e","0","29","n/e","529"
"Italy (IT)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","278","n/e","0","6239","1560","0","n/e","n/e","686","0","1575","1214","96","n/e","n/e","10231","n/e","55","28","n/e","465"
"Italy (IT)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","282","n/e","0","5813","1564","0","n/e","n/e","687","0","1654","1353","229","n/e","n/e","9883","n/e","1108","28","n/e","410"
"Italy (IT)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","284","n/e","17","5284","1558","4","n/e","n/e","686","0","1540","1521","207","n/e","n/e","9379","n/e","3237","28","n/e","286"
"Italy (IT)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","283","n/e","15","5054","1464","17","n/e","n/e","685","0","1158","1611","162","n/e","n/e","8968","n/e","5316","28","n/e","245"
"Italy (IT)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","285","n/e","30","5111","1518","30","n/e","n/e","683","0","1153","1530","112","n/e","n/e","8954","n/e","6368","29","n/e","298"
"Italy (IT)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","283","n/e","0","5646","1433","53","n/e","n/e","682","0","1131","1480","179","n/e","n/e","9733","n/e","6506","30","n/e","426"
"Italy (IT)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","282","n/e","1","5375","1361","59","n/e","n/e","681","0","1132","1272","155","n/e","n/e","9288","n/e","5812","28","n/e","587"
"Italy (IT)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","281","n/e","3","5333","1317","59","n/e","n/e","683","0","1130","1220","147","n/e","n/e","9367","n/e","3861","27","n/e","666"
"Italy (IT)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","282","n/e","5","5968","1556","59","n/e","n/e","684","0","988","1231","162","n/e","n/e","10619","n/e","1652","28","n/e","738"
