"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2460","n/e","n/e","29","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2472","n/e","n/e","28","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2397","n/e","n/e","27","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","54","2378","n/e","n/e","27","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2349","n/e","n/e","25","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2266","n/e","n/e","25","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2330","n/e","n/e","24","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2383","n/e","n/e","24","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2311","n/e","n/e","23","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2542","n/e","n/e","23","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","2896","n/e","n/e","22","n/e","n/e","n/e","n/e","0"
