"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","190","3666","55","595","7246","223","n/e","n/e","n/e","0","","219","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2822"
"BZN|PL","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","194","3473","54","594","7176","222","n/e","n/e","n/e","0","","220","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2749"
"BZN|PL","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","193","3316","54","594","7045","221","n/e","n/e","n/e","0","","220","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2691"
"BZN|PL","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","190","3215","54","593","6941","221","n/e","n/e","n/e","0","","221","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2658"
"BZN|PL","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","191","3231","54","593","6968","221","n/e","n/e","n/e","0","","221","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2658"
"BZN|PL","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","191","3299","55","594","7047","221","n/e","n/e","n/e","0","","221","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2563"
"BZN|PL","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","191","3226","55","598","6974","221","n/e","n/e","n/e","0","","221","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2637"
"BZN|PL","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","192","3239","54","598","7018","221","n/e","n/e","n/e","0","","221","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2738"
"BZN|PL","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","192","3399","54","601","7081","222","n/e","n/e","n/e","0","","223","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2828"
"BZN|PL","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","192","3723","54","602","7137","221","n/e","n/e","n/e","0","","226","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2912"
"BZN|PL","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","191","3996","54","602","7097","221","n/e","n/e","n/e","0","","226","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2899"
"BZN|PL","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","191","4260","54","601","7146","221","n/e","n/e","n/e","0","","226","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2854"
"BZN|PL","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","192","4301","54","601","7479","220","n/e","n/e","n/e","0","","226","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2731"
"BZN|PL","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","191","4337","54","601","7748","221","n/e","n/e","n/e","0","","226","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2699"
"BZN|PL","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","191","4329","54","601","7733","220","n/e","n/e","n/e","0","","230","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2683"
"BZN|PL","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","191","4143","55","601","7423","221","n/e","n/e","n/e","0","","240","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2938"
"BZN|PL","01.01.2017 16:00 - 01.01.2017 17:00 (CET)","192","4632","55","602","7995","221","n/e","n/e","n/e","79","","245","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3183"
"BZN|PL","01.01.2017 17:00 - 01.01.2017 18:00 (CET)","192","4680","54","601","8185","222","n/e","n/e","n/e","64","","255","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3340"
"BZN|PL","01.01.2017 18:00 - 01.01.2017 19:00 (CET)","191","4725","54","601","8148","223","n/e","n/e","n/e","8","","273","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3320"
"BZN|PL","01.01.2017 19:00 - 01.01.2017 20:00 (CET)","196","4800","54","602","8283","223","n/e","n/e","n/e","0","","258","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3207"
"BZN|PL","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","191","4746","55","601","8265","223","n/e","n/e","n/e","215","","249","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3074"
"BZN|PL","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","191","4626","55","599","8245","223","n/e","n/e","n/e","223","","245","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2947"
"BZN|PL","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","191","4610","55","599","8184","223","n/e","n/e","n/e","0","","225","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2751"
"BZN|PL","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","191","4363","55","597","7548","221","n/e","n/e","n/e","0","","221","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2532"
