"Week","Stored Energy Value 2016 [MWh] - BZN|FR","Stored Energy Value 2017 [MWh] - BZN|FR","Stored Energy Value 2018 [MWh] - BZN|FR","Stored Energy Value 2019 [MWh] - BZN|FR"
"Week 1","1978425","1731080","1577489","2186488"
"Week 2","2042176","1506079","1719409","2055622"
"Week 3","1893646","1352500","1660658","1931241"
"Week 4","1812965","988159","1704964","1750281"
"Week 5","1808771","907065","1639471","1591274"
"Week 6","1748370","971170","1416974","1474810"
"Week 7","1645290","937230","1194343","1446619"
"Week 8","1523088","935748","1101070","1319494"
"Week 9","1368108","843774","812004","1227480"
"Week 10","1308303","856354","665128","1161979"
"Week 11","1165647","873142","703526","1157528"
"Week 12","1032395","851557","643391","1135050"
"Week 13","993525","841629","586044","1064149"
"Week 14","1023632","839510","597380","984486"
"Week 15","1039776","858713","616931","932025"
"Week 16","1087120","872913","642271","921232"
"Week 17","1079049","909507","811033","1004280"
"Week 18","1078797","926378","1002365","1112875"
"Week 19","1190531","1016298","1101932","1130279"
"Week 20","1355507","1169199","1327826","1254728"
"Week 21","1498294","1337825","1497111","1324928"
"Week 22","1723111","1648732","1791003","1481998"
"Week 23","1902719","1907481","2062657","1701147"
"Week 24","2131614","2069304","2343672","1959725"
"Week 25","2271954","2246981","2562038","2172242"
"Week 26","2424740","2376558","2685251","2394994"
"Week 27","2595652","2453834","2829080","2572658"
"Week 28","2689942","2469901","2807415","2673159"
"Week 29","2746988","2472334","2788177","2690219"
"Week 30","2774693","2515875","2800440","2697155"
"Week 31","2815144","2534378","2817640","2742271"
"Week 32","2845905","2550592","2837239","2749841"
"Week 33","2843018","2543603","2869444","2762882"
"Week 34","2826938","2523198","2837907","2777986"
"Week 35","2746637","2493281","2778684","2760250"
"Week 36","2675879","2483308","2718547","2718854"
"Week 37","2580900","2446898","2678886","N/A"
"Week 38","2606349","2416702","2632172","2689334"
"Week 39","2512710","2356294","2588940","2650572"
"Week 40","2454430","2309797","2533385","2648638"
"Week 41","2321294","2246056","2476781","2625151"
"Week 42","2262240","2208835","2504641","2649054"
"Week 43","2211351","2184170","2474033","2771196"
"Week 44","2271496","2160397","2418967","2851394"
"Week 45","2313148","2079340","2457273","2986771"
"Week 46","2333679","1987997","2472229","2954760"
"Week 47","2455207","1861449","2331922","2792032"
"Week 48","2486202","1786793","2227100","2815568"
"Week 49","2388603","1535027","2232914","2815166"
"Week 50","2256174","1497896","2230364","2657645"
"Week 51","2066183","1464078","2085932","2652638"
"Week 52","1978452","1493019","2164121","2804309"
