"Week","Stored Energy Value 2016 [MWh] - BZN|NO2","Stored Energy Value 2017 [MWh] - BZN|NO2","Stored Energy Value 2018 [MWh] - BZN|NO2"
"Week 1","28166000","21575000","25974000"
"Week 2","27010000","21010000","24946000"
"Week 3","25732000","20431000","23952000"
"Week 4","25470000","19759000","23151000"
"Week 5","24973000","18909000","22263000"
"Week 6","24056000","17972000","21184000"
"Week 7","23158000","17116000","20102000"
"Week 8","22038000","16765000","18859000"
"Week 9","20891000","16143000","17607000"
"Week 10","19605000","15257000","16415000"
"Week 11","18676000","14751000","15304000"
"Week 12","17896000","14070000","14261000"
"Week 13","17318000","13917000","13250000"
"Week 14","16769000","14059000","12381000"
"Week 15","16072000","14000000","11717000"
"Week 16","15563000","13405000","12242000"
"Week 17","14711000","12515000","12842000"
"Week 18","14572000","12196000","13145000"
"Week 19","N/A","12082000","16141000"
"Week 20","16088000","15029000","18010000"
"Week 21","18034000","16939000","19196000"
"Week 22","20877000","18408000","20531000"
"Week 23","22135000","21069000","20983000"
"Week 24","22741000","22571000","21619000"
"Week 25","23729000","23486000","22023000"
"Week 26","24870000","24035000","21851000"
"Week 27","25165000","24108000","21469000"
"Week 28","25638000","24135000","21026000"
"Week 29","25781000","24215000","20569000"
"Week 30","26299000","24428000","20135000"
"Week 31","26800000","25351000","20166000"
"Week 32","27642000","25713000","20607000"
"Week 33","27538000","26039000","21279000"
"Week 34","27609000","25963000","21420000"
"Week 35","27645000","25600000","21247000"
"Week 36","27740000","25972000","21440000"
"Week 37","27764000","26940000","23353000"
"Week 38","27358000","26922000","24926000"
"Week 39","28621000","27171000","25923000"
"Week 40","28332000","28758000","26082000"
"Week 41","27545000","28944000","26889000"
"Week 42","26767000","29123000","27127000"
"Week 43","26207000","29621000","27398000"
"Week 44","25539000","29608000","26812000"
"Week 45","24502000","29214000","26736000"
"Week 46","24138000","28658000","27032000"
"Week 47","23852000","28535000","26129000"
"Week 48","23027000","27729000","25460000"
"Week 49","23070000","28027000","24848000"
"Week 50","22171000","27108000","23827000"
"Week 51","21794000","26945000","23435000"
"Week 52","22234000","26794000","22877000"
