"Time (CET)","Austria (AT) > Germany (DE) [MW]","Germany (DE) > Austria (AT) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","1434"
"01.01.2017 01:00 - 01.01.2017 02:00","0","1698"
"01.01.2017 02:00 - 01.01.2017 03:00","0","1968"
"01.01.2017 03:00 - 01.01.2017 04:00","0","2520"
"01.01.2017 04:00 - 01.01.2017 05:00","0","2449"
"01.01.2017 05:00 - 01.01.2017 06:00","0","2464"
"01.01.2017 06:00 - 01.01.2017 07:00","0","2565"
"01.01.2017 07:00 - 01.01.2017 08:00","0","2734"
"01.01.2017 08:00 - 01.01.2017 09:00","0","2643"
"01.01.2017 09:00 - 01.01.2017 10:00","0","2883"
"01.01.2017 10:00 - 01.01.2017 11:00","0","2833"
"01.01.2017 11:00 - 01.01.2017 12:00","0","2793"
"01.01.2017 12:00 - 01.01.2017 13:00","0","2553"
"01.01.2017 13:00 - 01.01.2017 14:00","0","2461"
"01.01.2017 14:00 - 01.01.2017 15:00","0","2203"
"01.01.2017 15:00 - 01.01.2017 16:00","0","1643"
"01.01.2017 16:00 - 01.01.2017 17:00","0","420"
"01.01.2017 17:00 - 01.01.2017 18:00","0","521"
"01.01.2017 18:00 - 01.01.2017 19:00","0","28"
"01.01.2017 19:00 - 01.01.2017 20:00","0","152"
"01.01.2017 20:00 - 01.01.2017 21:00","0","942"
"01.01.2017 21:00 - 01.01.2017 22:00","0","1254"
"01.01.2017 22:00 - 01.01.2017 23:00","0","1110"
"01.01.2017 23:00 - 02.01.2017 00:00","0","1438"
"02.01.2017 00:00 - 02.01.2017 01:00","0","1564"
"02.01.2017 01:00 - 02.01.2017 02:00","0","2004"
"02.01.2017 02:00 - 02.01.2017 03:00","0","2234"
"02.01.2017 03:00 - 02.01.2017 04:00","0","2359"
"02.01.2017 04:00 - 02.01.2017 05:00","0","2350"
"02.01.2017 05:00 - 02.01.2017 06:00","0","2287"
"02.01.2017 06:00 - 02.01.2017 07:00","0","1872"
"02.01.2017 07:00 - 02.01.2017 08:00","0","1457"
"02.01.2017 08:00 - 02.01.2017 09:00","0","959"
"02.01.2017 09:00 - 02.01.2017 10:00","0","1026"
"02.01.2017 10:00 - 02.01.2017 11:00","0","481"
"02.01.2017 11:00 - 02.01.2017 12:00","0","226"
"02.01.2017 12:00 - 02.01.2017 13:00","0","160"
"02.01.2017 13:00 - 02.01.2017 14:00","113","0"
"02.01.2017 14:00 - 02.01.2017 15:00","135","0"
"02.01.2017 15:00 - 02.01.2017 16:00","0","23"
"02.01.2017 16:00 - 02.01.2017 17:00","0","277"
"02.01.2017 17:00 - 02.01.2017 18:00","327","0"
"02.01.2017 18:00 - 02.01.2017 19:00","285","0"
"02.01.2017 19:00 - 02.01.2017 20:00","0","302"
"02.01.2017 20:00 - 02.01.2017 21:00","0","948"
"02.01.2017 21:00 - 02.01.2017 22:00","0","1090"
"02.01.2017 22:00 - 02.01.2017 23:00","0","1214"
"02.01.2017 23:00 - 03.01.2017 00:00","0","1173"
"03.01.2017 00:00 - 03.01.2017 01:00","0","1058"
"03.01.2017 01:00 - 03.01.2017 02:00","0","1059"
"03.01.2017 02:00 - 03.01.2017 03:00","0","1376"
"03.01.2017 03:00 - 03.01.2017 04:00","0","1481"
"03.01.2017 04:00 - 03.01.2017 05:00","0","1791"
"03.01.2017 05:00 - 03.01.2017 06:00","0","1859"
"03.01.2017 06:00 - 03.01.2017 07:00","0","1566"
"03.01.2017 07:00 - 03.01.2017 08:00","0","1227"
"03.01.2017 08:00 - 03.01.2017 09:00","0","907"
