Timestamp;Wind_DE;Demand_TenneT;Wind_TenneT
2016-01-01T00:00:00Z;8579;12581;5615
2016-01-01T01:00:00Z;8542;11887;5498
2016-01-01T02:00:00Z;8443;11264;5439
2016-01-01T03:00:00Z;8295;11292;5451
2016-01-01T04:00:00Z;7319;11328;4904
2016-01-01T05:00:00Z;6574;11109;4228
2016-01-01T06:00:00Z;5624;11031;3375
2016-01-01T07:00:00Z;4644;10974;2771
2016-01-01T08:00:00Z;3733;11911;2163
2016-01-01T09:00:00Z;2776;12871;1545
2016-01-01T10:00:00Z;1830;13700;897
2016-01-01T11:00:00Z;1287;13888;589
2016-01-01T12:00:00Z;790;13680;293
2016-01-01T13:00:00Z;496;13487;130
2016-01-01T14:00:00Z;405;13620;51
2016-01-01T15:00:00Z;665;14583;106
2016-01-01T16:00:00Z;1298;15543;240
2016-01-01T17:00:00Z;2146;15675;571
2016-01-01T18:00:00Z;3371;15218;1137
2016-01-01T19:00:00Z;4383;14234;1793
2016-01-01T20:00:00Z;5409;13629;2630
2016-01-01T21:00:00Z;6180;13652;3300
2016-01-01T22:00:00Z;6958;12995;3795
2016-01-01T23:00:00Z;7462;12391;4020
2016-01-02T00:00:00Z;8763;11506;4953
2016-01-02T01:00:00Z;10716;11475;6571
2016-01-02T02:00:00Z;11949;11746;7620
2016-01-02T03:00:00Z;13451;12062;8784
2016-01-02T04:00:00Z;14640;12288;9588
2016-01-02T05:00:00Z;15480;12691;9902
2016-01-02T06:00:00Z;16062;13046;10057
2016-01-02T07:00:00Z;16588;13865;9983
2016-01-02T08:00:00Z;17324;14898;10161
2016-01-02T09:00:00Z;17888;15677;10456
2016-01-02T10:00:00Z;18265;16454;10666
2016-01-02T11:00:00Z;18329;16523;10703
2016-01-02T12:00:00Z;18394;16383;10786
2016-01-02T13:00:00Z;18540;16005;10550
2016-01-02T14:00:00Z;18754;15973;10409
2016-01-02T15:00:00Z;19192;16636;10280
2016-01-02T16:00:00Z;19913;17523;10330
2016-01-02T17:00:00Z;20215;17378;10171
2016-01-02T18:00:00Z;20108;16661;10028
2016-01-02T19:00:00Z;19693;15582;9820
2016-01-02T20:00:00Z;19202;15064;9642
2016-01-02T21:00:00Z;18460;15065;9378
2016-01-02T22:00:00Z;18772;14214;9770
2016-01-02T23:00:00Z;18924;13564;10020
2016-01-03T00:00:00Z;18596;12862;9808
2016-01-03T01:00:00Z;18600;12262;9639
2016-01-03T02:00:00Z;18440;12001;9512
2016-01-03T03:00:00Z;18281;12148;9482
2016-01-03T04:00:00Z;18302;12057;9587
2016-01-03T05:00:00Z;18422;11896;9886
2016-01-03T06:00:00Z;18190;12438;9909
2016-01-03T07:00:00Z;17751;13077;9749
2016-01-03T08:00:00Z;17202;14054;9436
2016-01-03T09:00:00Z;16685;14900;9082
2016-01-03T10:00:00Z;15632;16102;8712
2016-01-03T11:00:00Z;14568;16030;8229
2016-01-03T12:00:00Z;14358;15426;8104
2016-01-03T13:00:00Z;14313;14836;7736
2016-01-03T14:00:00Z;14881;14796;7685
2016-01-03T15:00:00Z;15377;15492;7834
2016-01-03T16:00:00Z;16306;16512;8034
2016-01-03T17:00:00Z;17294;16896;7956
2016-01-03T18:00:00Z;17648;16172;7986
2016-01-03T19:00:00Z;17745;15389;8028
2016-01-03T20:00:00Z;17589;15072;8089
2016-01-03T21:00:00Z;16955;15092;7938
2016-01-03T22:00:00Z;16746;14000;8024
2016-01-03T23:00:00Z;16415;13738;7871
2016-01-04T00:00:00Z;15686;13263;7622
2016-01-04T01:00:00Z;15040;12913;7441
2016-01-04T02:00:00Z;14410;12967;7354
2016-01-04T03:00:00Z;13623;13054;7168
2016-01-04T04:00:00Z;13175;13667;7047
2016-01-04T05:00:00Z;13284;15247;7156
2016-01-04T06:00:00Z;13091;17489;7020
2016-01-04T07:00:00Z;12873;18673;6866
2016-01-04T08:00:00Z;12206;19201;6495
2016-01-04T09:00:00Z;11458;19818;6325
2016-01-04T10:00:00Z;10580;20256;6054
2016-01-04T11:00:00Z;10173;20308;5924
2016-01-04T12:00:00Z;9772;19895;5788
2016-01-04T13:00:00Z;9753;19377;5733
2016-01-04T14:00:00Z;10014;19195;5711
2016-01-04T15:00:00Z;10292;19725;5788
2016-01-04T16:00:00Z;10920;20713;5945
2016-01-04T17:00:00Z;11096;20726;6085
2016-01-04T18:00:00Z;10861;19889;5982
2016-01-04T19:00:00Z;10690;18481;6018
2016-01-04T20:00:00Z;10284;17306;5887
2016-01-04T21:00:00Z;9974;16895;5745
2016-01-04T22:00:00Z;9676;15766;5831
2016-01-04T23:00:00Z;9529;15160;5948
2016-01-05T00:00:00Z;9304;14616;5822
2016-01-05T01:00:00Z;9205;14031;5901
2016-01-05T02:00:00Z;9191;14091;6046
2016-01-05T03:00:00Z;9260;14341;5984
2016-01-05T04:00:00Z;9387;14834;5962
2016-01-05T05:00:00Z;9378;16138;6066
2016-01-05T06:00:00Z;9323;18070;6026
2016-01-05T07:00:00Z;9250;19033;6000
2016-01-05T08:00:00Z;9086;19476;5903
2016-01-05T09:00:00Z;8797;19808;5761
2016-01-05T10:00:00Z;8369;20309;5709
2016-01-05T11:00:00Z;8088;20273;5670
2016-01-05T12:00:00Z;7892;19621;5570
2016-01-05T13:00:00Z;7972;19294;5594
2016-01-05T14:00:00Z;8052;19112;5536
2016-01-05T15:00:00Z;8112;19652;5480
2016-01-05T16:00:00Z;8368;20718;5578
2016-01-05T17:00:00Z;8622;20521;5573
2016-01-05T18:00:00Z;8527;19885;5614
2016-01-05T19:00:00Z;8410;18611;5659
2016-01-05T20:00:00Z;8185;17476;5574
2016-01-05T21:00:00Z;7999;16835;5441
2016-01-05T22:00:00Z;7968;15672;5534
2016-01-05T23:00:00Z;7723;14854;5462
2016-01-06T00:00:00Z;7566;14153;5399
2016-01-06T01:00:00Z;7264;13770;5145
2016-01-06T02:00:00Z;7212;13620;5057
2016-01-06T03:00:00Z;7163;13786;5008
2016-01-06T04:00:00Z;7366;14209;5224
2016-01-06T05:00:00Z;7206;14915;5132
2016-01-06T06:00:00Z;7265;16571;5117
2016-01-06T07:00:00Z;7169;17645;5098
2016-01-06T08:00:00Z;6806;18224;4953
2016-01-06T09:00:00Z;6636;19062;5017
2016-01-06T10:00:00Z;6272;19808;4989
2016-01-06T11:00:00Z;5672;19595;4642
2016-01-06T12:00:00Z;5346;19000;4487
2016-01-06T13:00:00Z;5177;18678;4367
