from;to;action;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
DE;AT;Import_AT;4900;4900;4900;4900;4900;4900;5485;7805;7805;7805;7805;7805;7805;7805;7805;7805
DE;BE;Import_BE;0;0;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
DE;CH;Import_CH;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
DE;CZ;Import_CZ;1800;1800;1800;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400
DE;DK2;Import_DK_E;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585;585
DE;DK1;Import_DK_W;1780;1780;1780;1780;1780;1780;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE;FR;Import_FR;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
DE;NL;Import_NL;2449;2449;2449;2449;3949;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249
DE;NO2;Import_NO;0;0;0;0;0;0;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400
DE;PL;Import_PL;1400;1400;1400;1400;1400;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600
DE;SE4;Import_SE4;600;600;600;600;600;600;600;600;600;600;600;600;1300;1300;1300;1300
AT;DE;Export_AT;4900;4900;4900;4900;4900;4900;5485;7805;7805;7805;7805;7805;7805;7805;7805;7805
BE;DE;Export_BE;0;0;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
CH;DE;Export_CH;2000;2000;2000;2000;3100;3100;3100;3100;3400;3400;3400;3400;3400;3400;3400;3400
CZ;DE;Export_CZ;1000;1000;1000;1000;1000;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600
DK2;DE;Export_DK_E;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615
DK1;DE;Export_DK_W;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
FR;DE;Export_FR;3000;3000;3000;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600
NL;DE;Export_NL;2449;2449;2449;2449;3949;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249
NO2;DE;Export_NO;0;0;0;0;0;0;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400
PL;DE;Export_PL;0;0;0;0;0;200;200;200;200;200;900;900;900;900;900;900
SE4;DE;Export_SE4;615;615;615;615;615;615;615;615;615;615;615;615;1315;1315;1315;1315
FR;CH;0;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615;2615
CH;FR;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200
AT;CH;0;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736;736
CH;AT;0;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200
