bnaID;ERid;opsd;Peschel;Hahn;ITE;ERman;tecFin;Comment
BNA0005;ER0000267;T;NA;T;T;NA;T;NA
BNA0006;ER0000268;T;NA;T;T;NA;T;NA
BNA0007;ER0000269;T;NA;T;T;NA;T;NA
BNA0008;ER0000270;T;NA;T;T;NA;T;NA
BNA0010a;ER0000760;ROR;NA;NA;NA;NA;ROR;NA
BNA0010b;ER0000771;ROR;NA;NA;NA;NA;ROR;NA
BNA0011;ER0000250;SPP;NA;NA;NA;NA;SPP;NA
BNA0012a;ER0000010;SPP;NA;NA;NA;NA;SPP;NA
BNA0012b;ER0000271;SPP;CC;NA;T;T;T;NA
BNA0012c;ER0000761;ROR;NA;NA;NA;NA;ROR;NA
BNA0012d;ER0000630;SPP;NA;NA;NA;NA;SPP;NA
BNA0015;ER0000272;T;T;T;T;NA;T;NA
BNA0016;ER0000273;T;NA;T;T;NA;T;NA
BNA0017;ER0000274;T;NA;T;T;NA;T;NA
BNA0018;ER0000275;T;NA;T;T;NA;T;NA
BNA0019;ER0000149;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0020;ER0000150;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0021;ER0000011;SPP;NA;NA;NA;NA;SPP;NA
BNA0024;ER0000762;ROR;NA;NA;NA;NA;ROR;NA
BNA0025;ER0000276;SPP;T;NA;T;NA;T;NA
BNA0027;ER0000881;SPP;NA;NA;NA;NA;SPP;NA
BNA0027;ER0000882;SPP;NA;NA;NA;NA;SPP;NA
BNA0033;ER0000280;T;T;NA;T;NA;T;NA
BNA0042;ER0000763;ROR;NA;NA;NA;NA;ROR;NA
BNA0045;ER0000764;ROR;NA;NA;NA;NA;ROR;NA
BNA0046;ER0000685;PHS;NA;NA;NA;NA;PHS;NA
BNA0051;ER0000284;SPP;M;NA;T;M;M;NA
BNA0055;ER0000014;SPP;NA;NA;NA;NA;SPP;NA
BNA0059a;ER0000537;SPP;NA;NA;T;SPP;SPP;NA
BNA0059b;ER0000285;CC;CC;CC;CC;NA;CC;NA
BNA0062;ER0000015;SPP;NA;NA;NA;NA;SPP;NA
BNA0065;ER0000765;ROR;NA;NA;NA;NA;ROR;NA
BNA0066;ER0000016;SPP;NA;NA;NA;NA;SPP;NA
BNA0067;ER0000151;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0068;ER0000017;SPP;NA;NA;NA;NA;SPP;NA
BNA0073;ER0000287;CC;CC;CC;CC;NA;CC;NA
BNA0074;ER0000288;T;T;T;T;NA;T;NA
BNA0075;ER0000289;SPP;NA;T;T;NA;T;NA
BNA0076;ER0000290;SPP;NA;T;T;NA;T;NA
BNA0080;ER0000291;SPP;CC;T;T;NA;T;NA
BNA0081;ER0000082;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0082;ER0000152;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0083;ER0000633;SPP;NA;NA;NA;NA;SPP;NA
BNA0084;ER0000549;SPP;NA;NA;NA;NA;SPP;NA
BNA0085a;ER0000153;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0085b;ER0000634;T;NA;NA;NA;NA;T;NA
BNA0086;ER0000154;SPP;NA;SPP;NA;NA;SPP;NA
BNA0087;ER0000155;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0088a;ER0000550;CC;NA;NA;NA;NA;CC;NA
BNA0088b;ER0000292;CC;CC;CC;CC;NA;CC;NA
BNA0090;ER0000018;SPP;NA;NA;NA;NA;SPP;NA
BNA0093;ER0000156;SPP;NA;SPP;NA;NA;SPP;NA
BNA0097;ER0000551;SPP;NA;NA;NA;NA;SPP;NA
BNA0098;ER0000293;SPP;NA;NA;CC;CC;CC;NA
BNA0099;ER0000543;T;NA;T;T;NA;T;NA
BNA0100;ER0000294;CC;CC;CC;CC;NA;CC;NA
BNA0101;ER0000295;SPP;CC;SPP;CC;CC;CC;NA
BNA0103;ER0000019;SPP;NA;NA;NA;NA;SPP;NA
BNA0105;ER0000296;CC;CC;CC;CC;NA;CC;NA
BNA0106;ER0000020;SPP;NA;NA;NA;NA;SPP;NA
BNA0110;ER0000297;SPP;CC;NA;T;T;T;NA
BNA0111;ER0000298;SPP;CC;SPP;T;NA;SPP;NA
