labels;country;type;from;to_el;technology;fuel;efficiency_el;max_load_factor;min_load_factor;unit_lifetime;min_invest;max_invest;overall_maximum;overall_minimum;grad_pos;grad_neg
DE_transformer_natgas_GT_new_built;DE;emb;DE_bus_natgas;DE_bus_el;GT;natgas;0.43;1;0;40;0;3000;30000;0;1;1
DE_transformer_natgas_GT_CHP_new_built;DE;chp;DE_bus_natgas;DE_bus_el;GT;natgas;0.1;1;0.29;40;0;3000;30000;0;1;1
DE_transformer_natgas_CC_new_built;DE;emb;DE_bus_natgas;DE_bus_el;CC;natgas;0.6;1;0.02;34;0;3000;30000;0;1;1
DE_transformer_natgas_CC_CHP_new_built;DE;chp;DE_bus_natgas;DE_bus_el;CC;natgas;0.6;1;0.1;34;0;3000;30000;0;1;1
DE_transformer_hydrogen_GT_new_built;DE;emb;DE_bus_hydrogen;DE_bus_el;GT;hydrogen;0.43;1;0;40;0;5000;50000;0;1;1
DE_transformer_hydrogen_GT_CHP_new_built;DE;chp;DE_bus_hydrogen;DE_bus_el;GT;hydrogen;0.43;1;0.1;40;0;5000;50000;0;1;1
DE_transformer_hydrogen_FC_new_built;DE;emb;DE_bus_hydrogen;DE_bus_el;FC;hydrogen;0.6;1;0;40;0;5000;50000;0;1;1
DE_transformer_hydrogen_CC_new_built;DE;emb;DE_bus_hydrogen;DE_bus_el;CC;hydrogen;0.6;1;0.02;34;0;5000;50000;0;1;1
DE_transformer_hydrogen_CC_CHP_new_built;DE;chp;DE_bus_hydrogen;DE_bus_el;CC;hydrogen;0.6;1;0.1;34;0;5000;50000;0;1;1
DE_transformer_oil_ST_new_built;DE;emb;DE_bus_oil;DE_bus_el;ST;oil;0.42;1;0;41;0;2000;5000;0;1;1
DE_transformer_oil_ST_CHP_new_built;DE;chp;DE_bus_oil;DE_bus_el;ST;oil;0.42;1;0.05;41;0;2000;5000;0;1;1
DE_transformer_biomass_ST_new_built;DE;emb;DE_bus_biomass;DE_bus_el;ST;biomass;0.05;1;0.27;27;0;1000;5000;0;1;1
DE_transformer_biomass_ST_CHP_new_built;DE;chp;DE_bus_biomass;DE_bus_el;ST;biomass;0.1;1;0.27;27;0;1000;5000;0;1;1
DE_transformer_waste_ST_CHP_new_built;DE;chp;DE_bus_waste;DE_bus_el;ST;waste;0.09;1;0.1;35;0;500;1000;0;1;1
DE_transformer_hydrogen_electrolyzer_new_built;DE;emb;DE_bus_el;DE_bus_hydrogen;EL;hydrogen;0.8;1;0;30;0;5000;1000000;0;1;1
