Kraftwerksnummer BNetzA;Kraftwerksbetreiber;Kraftwerksblock;Netto-Nennleistung in MW laut KW-Liste;Stilllegungsanzeigentyp;Systemrelevanz von zur Stilllegung angezeigten KW-Blöcken gemäß ÜNB
BNA0574b;Statkraft Markets GmbH;Gaskraftwerk Robert Frank, Landesbergen;431;Geplant vorläufig;
BNA1043;RWE Generation SE;Gersteinwerk Block I2 (Dampfteil);355;Geplant vorläufig;
BNA0680;Mitteldeutsche Braunkohlengesellschaft mbH;Mumsdorf;60;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA1035;Mark-E Aktiengesellschaft;Kraftwerk Werdohl-Elverlingsen E3;186;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA1036;Mark-E Aktiengesellschaft;Kraftwerk Werdohl-Elverlingsen E1/2;206;Geplant vorläufig;
BNA0993;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Irsching 3;375;Geplant endgültig;x
BNA0374;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Staudinger 4;580;Geplant endgültig;x
BNA0140;swb Erzeugung GmbH & Co. KG (Bremen);Hastedt Block 14;155;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0145;swb Erzeugung GmbH & Co. KG (Bremen);Kraftwerk Hafen Block 5;127;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0215;STEAG GmbH;Walsum 7;129;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0447;STEAG GmbH;Herne Block 2;133;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0649;EnBW Energie Baden-Württemberg AG;Marbach Block 3 DT III;263,5;Geplant endgültig;x
BNA0648;EnBW Energie Baden-Württemberg AG;Marbach Block 3 GT III;85;Geplant endgültig;x
BNA0647;EnBW Energie Baden-Württemberg AG;Marbach Block 3 GT II;77,4;Geplant endgültig;x
BNA1005;EnBW Energie Baden-Württemberg AG;WAL 1;96;Geplant endgültig;x
BNA1006;EnBW Energie Baden-Württemberg AG;WAL 2;148;Geplant endgültig;x
BNA0099;Gemeinschaftskraftwerk Veltheim GmbH;Gasturbine Bielefeld Ummeln;55;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0627;Kraftwerke Mainz-Wiesbaden AG;Kraftwerk Mainz KW 2 (Dampfteil);255,5;Geplant endgültig;x
BNA0642;Grosskraftwerk Mannheim AG;GKM Block 3;202,5;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0643;Grosskraftwerk Mannheim AG;GKM Block 4;202,5;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0813;Gemeinschaftskraftwerk Veltheim GmbH;Veltheim 3;303;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0810;Gemeinschaftskraftwerk Veltheim GmbH;Veltheim 4 GT;65;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0811;Gemeinschaftskraftwerk Veltheim GmbH;Veltheim 4 DT;335;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0378;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Ingolstadt 3;375;Geplant endgültig;x
BNA0379;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Ingolstadt 4;386;Geplant endgültig;x
BNA0333;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Scholven D;345;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0334;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Scholven E;345;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0335;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Scholven F;676;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0203;Uniper Kraftwerke GmbH ( vormals E.ON Kraftwerke GmbH);Knepper C;345;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA1248a;UPM GmbH;Schongau Dampfkraftwerk;64;Geplant vorläufig;x
BNA0419;enercity (Stadtwerke Hannover AG);Herrenhausen B;102;Geplant vorläufig;
BNA0355;E.ON Kernkraft GmbH;Grafenrheinfeld;1275;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
