fuel;year;capacity [GW]
solarPV;2018;45
solarPV;2025;91
solarPV;2030;150
solarPV;2035;211
solarPV;2040;252
solarPV;2045;315
solarPV;2050;355
windonshore;2018;52
windonshore;2025;65
windonshore;2030;80
windonshore;2035;94
windonshore;2040;119
windonshore;2045;128
windonshore;2050;130
windoffshore;2018;6
windoffshore;2025;11
windoffshore;2030;25
windoffshore;2035;36
windoffshore;2040;51
windoffshore;2045;61
windoffshore;2050;70
ROR;2018;6
ROR;2025;6
ROR;2030;6
ROR;2035;6
ROR;2040;6
ROR;2045;6
ROR;2050;6
biomassEEG;2018;7
biomassEEG;2025;7
biomassEEG;2030;7
biomassEEG;2035;5
biomassEEG;2040;3
biomassEEG;2045;2
biomassEEG;2050;1
