Komponente ;Größe ;Einheit ;2020;2025;2030;2035;2040;2045;2050
Wind Offshore ;Investition ;€/kWel ;3512;3210;2937;2697;2493;2337;2251
;Lebensdauer ;a ;20;20;20;20;20;20;20
;Potenzial ;GW ;0.66;0.66;2.77;2.77;2.77;2.77;2.77
;M/O-Kosten ;% Invest ;3;3;3;3;3;3;3
Wind Onshore ;Investition ;€/kWel ;1493;1411;1366;1345;1337;1335;1335
;Lebensdauer ;a ;24;24;25;25;25;26;26
;Potenzial ;GW ;5.52;5.52;5.52;5.52;5.52;5.52;5.52
;M/O-Kosten ;% Invest ;3;3;3;3;3;3;3
Photovoltaik Dach Süd;Investition ;€/kWel ;976;828;718;643;597;576;571
;Lebensdauer ;a ;26;26;27;27;28;28;29
;Potenzial ;GW ;1.9;4;6.5;6.5;6.5;6.5;6.5
;M/O-Kosten ;% Invest ;2;2;2;2;2;2;2
Photovoltaik Dach Ost-West;Investition ;€/kWel ;976;828;718;643;597;576;571
;Lebensdauer ;a ;26;26;27;27;28;28;29
;Potenzial ;GW ;2.3;4.5;6.5;6.5;6.5;6.5;6.5
;M/O-Kosten ;% Invest ;2;2;2;2;2;2;2
Photovoltaik Freifläche Süd;Investition ;€/kWel ;648;600;550;505;463;425;390
;Lebensdauer ;a ;26;26;27;27;28;28;29
;Potenzial ;GW ;1;3.4;4.35;4.35;5.35;5.35;5.35
;M/O-Kosten ;% Invest ;2;2;2;2;2;2;2
GuD-Kraftwerke ;Investition ;€/kWel ;700;700;700;700;700;700;700
;Lebensdauer ;a ;40;40;40;40;40;40;40
;M/O-Kosten ;% Invest ;3;3;3;3;3;3;3
;Wirkungsgrad ;% ;56;57;59;60;61;62;63
Gasturbine ;Investition ;€/kWel ;385;385;385;385;385;385;385
;Lebensdauer ;a ;40;40;40;40;40;40;40
;M/O-Kosten ;% Invest ;2;2;2;2;2;2;2
;Wirkungsgrad ;% ;35;35;35;35;35;35;35
Braunkohlekraftwerk ;Investition ;€/kWel ;1700;1700;1700;1700;1700;1700;1700
;Lebensdauer ;a ;45;45;45;45;45;45;45
;M/O-Kosten ;% Invest ;1.6;1.6;1.6;1.6;1.6;1.6;1.6
;Wirkungsgrad ;% ;37;38;39;40;41;42;42
