energy_carrier;parameter;unit;2021;source
windonshore;capex_low;€/kW;1400;pp. 12-13
;capex_high;€/kW;2000;pp. 12-13
;lifetime;a;25;pp. 12-13
;wacc_nominal;%;4.2;pp. 12-13
;wacc_real;%;2.96;pp. 12-13
;opex_fix;€/kW;20;pp. 12-13
;opex_var;€/kWh;0.008;pp. 12-13
;flh_low;h/a;1800;p. 14
;flh_middle;h/a;2500;p. 14
;flh_high;h/a;3200;p. 14
;LR;%/a;5;p. 40
windoffshore;capex_low;€/kW;3000;pp. 12-13
;capex_high;€/kW;4000;pp. 12-13
;lifetime;a;25;pp. 12-13
;wacc_nominal;%;6.5;pp. 12-13
;wacc_real;%;5.24;pp. 12-13
;opex_fix;€/kW;70;pp. 12-13
;opex_var;€/kWh;0.008;pp. 12-13
;flh_low;h/a;3200;p. 14
;flh_middle;h/a;3600;p. 14
;flh_high;h/a;4500;p. 14
;LR;%/a;5;p. 40
solarPV_rooftop (<= 30 kWp);capex_low;€/kW;1000;pp. 12-13
;capex_high;€/kW;1600;pp. 12-13
;lifetime;a;30;pp. 12-13
;wacc_nominal;%;3.4;pp. 12-13
;wacc_real;%;2.2;pp. 12-13
;opex_fix;€/kW;26;pp. 12-13
;opex_var;€/kWh;0;pp. 12-13
;flh_low;h/a;935;p. 14
;flh_middle;h/a;1105;p. 14
;flh_high;h/a;1280;p. 14
;degradation;%/a;0.25;p. 13
;LR;%/a;15;p. 40
solarPV_rooftop (> 30 kWp);capex_low;€/kW;750;pp. 12-13
;capex_high;€/kW;1400;pp. 12-13
;lifetime;a;30;pp. 12-13
;wacc_nominal;%;3.7;pp. 12-13
;wacc_real;%;2.5;pp. 12-13
;opex_fix;€/kW;21.5;pp. 12-13
;opex_var;€/kWh;0;pp. 12-13
;flh_low;h/a;935;p. 14
;flh_middle;h/a;1105;p. 14
;flh_high;h/a;1280;p. 14
;degradation;%/a;0.25;p. 13
;LR;%/a;15;p. 40
solarPV_open_area;capex_low;€/kW;530;pp. 12-13
;capex_high;€/kW;800;pp. 12-13
;lifetime;a;30;pp. 12-13
;wacc_nominal;%;3.7;pp. 12-13
;wacc_real;%;2.5;pp. 12-13
;opex_fix;€/kW;13.3;pp. 12-13
;opex_var;€/kWh;0;pp. 12-13
;flh_low;h/a;935;p. 14
;flh_middle;h/a;1105;p. 14
;flh_high;h/a;1280;p. 14
;degradation;%/a;0.25;p. 13
;LR;%/a;15;p. 40
