energy_carrier;windonshore;windonshore;windonshore;windoffshore;windoffshore;windoffshore;solarPV;solarPV;solarPV;source
estimate;high;middle;low;high;middle;low;low;middle;high;
2020;653;665;660;64;32;32;707.5;707.5;707.5;"wind: p. 22; solar: p.40"
2021;728;797;738;73;41;41;835;849;877;"wind: p. 22; solar: p.40"
2022;942;875;797;82;50;50;977;1010;1079;"wind: p. 22; solar: p.40"
2023;1133;965;865;100;59;59;1133;1192;1317;"wind: p. 22; solar: p.40"
2024;1300;1070;947;114;68;68;1303;1395;1593;"wind: p. 22; solar: p.40"
2025;1460;1172;1020;137;68;68;1485;1618;1912;"wind: p. 22; solar: p.40"
2026;1619;1285;1107;150;87;87;1679;1861;2275;"wind: p. 22; solar: p.40"
2027;1765;1401;1202;169;100;100;1880;2121;2684;"wind: p. 22; solar: p.40"
2028;1917;1532;1303;187;105;105;2087;2397;3141;"wind: p. 22; solar: p.40"
2029;2077;1665;1412;205;114;114;2295;2685;3643;"wind: p. 22; solar: p.40"
2030;2245;1803;1503;228;132;132;2502;2980;4189;"wind: p. 22; solar: p.40"
2031;2418;1950;1612;255;150;150;2702;3278;4776;"wind: p. 22; solar: p.40"
2032;2594;2102;1717;264;159;159;2905;3606;5397;"wind: p. 22; solar: p.40"
2033;2781;2261;1822;292;173;173;3108;3966;6044;"wind: p. 22; solar: p.40"
2034;2974;2429;1936;314;182;182;3310;4363;6709;"wind: p. 22; solar: p.40"
2035;3166;2602;2063;337;205;205;3509;4799;7380;"wind: p. 22; solar: p.40"
2036;3372;2779;2205;378;223;223;3684;5231;8081;"wind: p. 22; solar: p.40"
2037;3578;2964;2332;410;241;241;3832;5650;8809;"wind: p. 22; solar: p.40"
2038;3797;3162;2487;437;251;251;3985;6045;9557;"wind: p. 22; solar: p.40"
2039;4018;3359;2655;478;269;269;4144;6408;10322;"wind: p. 22; solar: p.40"
2040;4248;3566;2774;515;292;292;4310;6728;11096;"wind: p. 22; solar: p.40"
