Technology;Country/area;Indicator;2016;2017;2018
Total renewable energy;Europe;Electricity capacity (MW);488496;513025;537428
;Austria;Electricity capacity (MW);19336;19596;20358
;Belgium;Electricity capacity (MW);6735;7432;8242
;Czechia;Electricity capacity (MW);4212;4272;4265
;Denmark;Electricity capacity (MW);7410;8196;8925
;Finland;Electricity capacity (MW);6862;7628;7698
;France;Electricity capacity (MW);44840;47814;50527
;Germany;Electricity capacity (MW);104436;112514;119296
;Hungary;Electricity capacity (MW);1048;1194;1599
;Italy;Electricity capacity (MW);51195.27;52128.454;53160.575
;Luxembourg;Electricity capacity (MW);301;318;324
;Netherlands;Electricity capacity (MW);7114;7916;9803
;Norway;Electricity capacity (MW);32814;33251;33893
;Poland;Electricity capacity (MW);7881;7982;8300
;Portugal;Electricity capacity (MW);13217;13555;13767
;Slovakia;Electricity capacity (MW);2397;2385;2330
;Spain;Electricity capacity (MW);47773;47921;48257
;Sweden;Electricity capacity (MW);27805;28337;29244
;Switzerland;Electricity capacity (MW);16259;17049;17468
;UK;Electricity capacity (MW);35451;40034;44051
Hydropower;Europe;Electricity capacity (MW);217999;219672;221167
;Austria;Electricity capacity (MW);14116;14150;14516
;Belgium;Electricity capacity (MW);1425;1417;1418
;Czechia;Electricity capacity (MW);2262;2265;2264
;Denmark;Electricity capacity (MW);9;9;9
;Finland;Electricity capacity (MW);3250;3272;3287
;France;Electricity capacity (MW);25621;25707;25793
;Germany;Electricity capacity (MW);11207;11120;10940
;Hungary;Electricity capacity (MW);57;57;57
;Italy;Electricity capacity (MW);22298;22426.015;22498.587
;Luxembourg;Electricity capacity (MW);1330;1331;1330
;Netherlands;Electricity capacity (MW);37;37;37
;Norway;Electricity capacity (MW);31817;31912;32530
;Poland;Electricity capacity (MW);2385;2390;2391
;Portugal;Electricity capacity (MW);6960;7226;7236
;Slovakia;Electricity capacity (MW);2524;2523;2528
;Spain;Electricity capacity (MW);20080;20079;20080
;Sweden;Electricity capacity (MW);16466;16502;16431
;Switzerland;Electricity capacity (MW);14806;15353;15506
;UK;Electricity capacity (MW);4736;4773;4778
Renewable hydropower;Europe;Electricity capacity (MW);189399;191200;192833
;Austria;Electricity capacity (MW);14116;14150;14516
;Belgium;Electricity capacity (MW);115;107;108
;Czechia;Electricity capacity (MW);1090;1093;1093
;Denmark;Electricity capacity (MW);9;9;9
;Finland;Electricity capacity (MW);3250;3272;3287
;France;Electricity capacity (MW);23893;23979;24065
;Germany;Electricity capacity (MW);5629;5627;5585
;Hungary;Electricity capacity (MW);57;57;57
;Italy;Electricity capacity (MW);18316;18485.635;18558.207
;Luxembourg;Electricity capacity (MW);34;35;34
;Netherlands;Electricity capacity (MW);37;37;37
;Norway;Electricity capacity (MW);31817;31912;32530
;Poland;Electricity capacity (MW);972;967;968
;Portugal;Electricity capacity (MW);6960;7226;7236
;Slovakia;Electricity capacity (MW);1608;1607;1612
;Spain;Electricity capacity (MW);16743;16742;16743
;Sweden;Electricity capacity (MW);16367;16502;16431
;Switzerland;Electricity capacity (MW);14279;14826;14979
;UK;Electricity capacity (MW);2136;2173;2178
Pumped storage;Europe;Electricity capacity (MW);28601;28473;28334
;Austria;Electricity capacity (MW);0;0;0
;Belgium;Electricity capacity (MW);1310;1310;1310
;Czechia;Electricity capacity (MW);1172;1172;1172
;Denmark;Electricity capacity (MW);;;
;Finland;Electricity capacity (MW);;;
;France;Electricity capacity (MW);1728;1728;1728
;Germany;Electricity capacity (MW);5578;5493;5355
;Hungary;Electricity capacity (MW);;;
;Italy;Electricity capacity (MW);3982;3940.38;3940.38
;Luxembourg;Electricity capacity (MW);1296;1296;1296
;Netherlands;Electricity capacity (MW);;;
;Norway;Electricity capacity (MW);0;0;0
;Poland;Electricity capacity (MW);1413;1423;1423
;Portugal;Electricity capacity (MW);0;0;0
;Slovakia;Electricity capacity (MW);916;916;916
;Spain;Electricity capacity (MW);3337;3337;3337
;Sweden;Electricity capacity (MW);99;0;0
;Switzerland;Electricity capacity (MW);527;527;527
;UK;Electricity capacity (MW);2600;2600;2600
Marine;Europe;Electricity capacity (MW);241;245;246
;Austria;Electricity capacity (MW);;;
;Belgium;Electricity capacity (MW);;;
;Czechia;Electricity capacity (MW);;;
;Denmark;Electricity capacity (MW);0;0;0
;Finland;Electricity capacity (MW);;;
;France;Electricity capacity (MW);220;219;218
;Germany;Electricity capacity (MW);;;
;Hungary;Electricity capacity (MW);;;
;Italy;Electricity capacity (MW);0.2;0.2;0.2
;Luxembourg;Electricity capacity (MW);;;
;Netherlands;Electricity capacity (MW);2;2;2
;Norway;Electricity capacity (MW);0;0;0
;Poland;Electricity capacity (MW);;;
;Portugal;Electricity capacity (MW);0;0;0
;Slovakia;Electricity capacity (MW);;;
;Spain;Electricity capacity (MW);5;5;5
