Alle Werte in ct/kWh;Jan 2017;Feb 2017;Mär 2017;Apr 2017;Mai 2017;Jun 2017;Jul 2017;Aug 2017;Sep 2017;Okt 2017;Nov 2017;Dez 2017
; ; ; ; ; ; ; ; ; ; ; ; 
Monatsmittelwert Stundenkontrakte EPEX Spot (MW-EPEX); 5,237; 3,970; 3,170; 2,887; 3,046; 3,000; 3,301; 3,085; 3,435; 2,825; 4,037; 3,077
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Onshore; 4,066; 3,293; 2,872; 2,360; 2,621; 2,549; 2,892; 2,721; 2,765; 1,872; 3,088; 2,192
PM Wind Onshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Offshore; 4,484; 3,769; 3,044; 2,496; 2,792; 2,604; 2,977; 2,708; 3,043; 2,587; 3,254; 2,470
PM Wind Offshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar; 5,697; 4,156; 3,077; 2,523; 2,984; 2,943; 3,230; 3,021; 3,554; 2,912; 4,297; 3,299
PM Solar fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW steuerbar; 5,237; 3,970; 3,170; 2,887; 3,046; 3,000; 3,301; 3,085; 3,435; 2,825; 4,037; 3,077
PM steuerbar; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden; Nein; Nein; Nein; Ja; Ja; Nein; Ja; Nein; Nein; Ja; Nein; Ja
