Alle Werte in ct/kWh;Jan/17;Feb/17;Mär 2017;Apr/17;Mai 2017;Jun/17;Jul/17;Aug/17;Sep/17;Okt 2017;Nov/17;Dez 2017
; ; ; ; ; ; ; ; ; ; ; ; 
Monatsmittelwert Stundenkontrakte EPEX Spot (MW-EPEX);3,503;2,192;2,249;1,709;1,76;2,618;3,006;3,486;4,369;3,397;3,879;4,352
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Onshore;3,091;1,68;1,773;0,94;1,214;2,203;2,035;3,005;3,785;2,986;3,199;3,291
PM Wind Onshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Wind Offshore;3,321;1,92;1,81;1,128;1,247;2,196;2,265;3,142;3,758;3,14;3,454;3,888
PM Wind Offshore fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW Solar;3,831;2,319;1,618;0,89;1,413;2,473;2,623;3,321;3,981;3,269;3,998;4,811
PM Solar fernsteuerbar; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400; 0,400
; ; ; ; ; ; ; ; ; ; ; ; 
MW steuerbar;3,503;2,192;2,249;1,709;1,76;2,618;3,006;3,486;4,369;3,397;3,879;4,352
PM steuerbar; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200; 0,200
; ; ; ; ; ; ; ; ; ; ; ; 
Negative Stunden; Nein; Nein; Nein; Ja; Ja; Nein; Ja; Nein; Nein; Ja; Nein; Ja
