Datum;von;bis;50Hertz (MW);Amprion (MW);TenneT TSO (MW);TransnetBW (MW)
01.01.2017;00:00;01:00;0,00;0,00;0,00;0,00
01.01.2017;01:00;02:00;0,00;0,00;0,00;0,00
01.01.2017;02:00;03:00;0,00;0,00;0,00;0,00
01.01.2017;03:00;04:00;0,00;0,00;0,00;0,00
01.01.2017;04:00;05:00;0,00;0,00;0,00;0,00
01.01.2017;05:00;06:00;0,00;0,00;0,00;0,00
01.01.2017;06:00;07:00;0,00;0,00;0,00;0,00
01.01.2017;07:00;08:00;0,00;0,00;0,00;0,75
01.01.2017;08:00;09:00;90,00;40,08;99,53;44,25
01.01.2017;09:00;10:00;683,18;346,90;703,19;350,25
01.01.2017;10:00;11:00;1421,89;881,56;1574,30;809,75
01.01.2017;11:00;12:00;1926,01;1455,46;2333,71;1142,50
01.01.2017;12:00;13:00;2107,24;1841,77;2641,36;1373,00
01.01.2017;13:00;14:00;1702,37;1728,14;2398,60;1298,00
01.01.2017;14:00;15:00;991,11;1125,09;1632,12;922,25
01.01.2017;15:00;16:00;259,17;423,48;630,78;367,00
01.01.2017;16:00;17:00;2,77;27,74;48,38;40,50
01.01.2017;17:00;18:00;0,00;0,00;0,00;0,25
01.01.2017;18:00;19:00;0,00;0,00;0,00;0,00
01.01.2017;19:00;20:00;0,00;0,00;0,00;0,00
01.01.2017;20:00;21:00;0,00;0,00;0,00;0,00
01.01.2017;21:00;22:00;0,00;0,00;0,00;0,00
01.01.2017;22:00;23:00;0,00;0,00;0,00;0,00
01.01.2017;23:00;00:00;0,00;0,00;0,00;0,00
02.01.2017;00:00;01:00;0,00;0,00;0,00;0,00
02.01.2017;01:00;02:00;0,00;0,00;0,00;0,00
02.01.2017;02:00;03:00;0,00;0,00;0,00;0,00
02.01.2017;03:00;04:00;0,00;0,00;0,00;0,00
02.01.2017;04:00;05:00;0,00;0,00;0,00;0,00
02.01.2017;05:00;06:00;0,00;0,00;0,00;0,00
02.01.2017;06:00;07:00;0,00;0,00;0,00;0,00
02.01.2017;07:00;08:00;0,00;0,00;0,00;0,00
02.01.2017;08:00;09:00;16,50;25,04;42,07;21,75
02.01.2017;09:00;10:00;126,72;180,97;344,50;122,00
02.01.2017;10:00;11:00;309,66;395,79;649,12;273,00
02.01.2017;11:00;12:00;578,09;587,84;903,83;335,25
02.01.2017;12:00;13:00;704,58;821,63;1029,59;324,50
02.01.2017;13:00;14:00;557,73;838,08;905,31;240,50
02.01.2017;14:00;15:00;324,48;590,11;527,15;141,50
02.01.2017;15:00;16:00;84,07;267,89;172,60;38,00
02.01.2017;16:00;17:00;0,83;27,52;12,74;7,00
02.01.2017;17:00;18:00;0,00;0,00;0,00;0,00
02.01.2017;18:00;19:00;0,00;0,00;0,00;0,00
02.01.2017;19:00;20:00;0,00;0,00;0,00;0,00
02.01.2017;20:00;21:00;0,00;0,00;0,00;0,00
02.01.2017;21:00;22:00;0,00;0,00;0,00;0,00
02.01.2017;22:00;23:00;0,00;0,00;0,00;0,00
02.01.2017;23:00;00:00;0,00;0,00;0,00;0,00
03.01.2017;00:00;01:00;0,00;0,00;0,00;0,00
03.01.2017;01:00;02:00;0,00;0,00;0,00;0,00
