Datum;von;bis;50Hertz (MW);Amprion (MW);TenneT TSO (MW);TransnetBW (MW)
01.01.2017;00:00;01:00;331,99;;2971,27;
01.01.2017;01:00;02:00;331,92;;2971,59;
01.01.2017;02:00;03:00;331,91;;2967,00;
01.01.2017;03:00;04:00;331,20;;2968,58;
01.01.2017;04:00;05:00;331,41;;2967,15;
01.01.2017;05:00;06:00;331,77;;2957,58;
01.01.2017;06:00;07:00;331,87;;2855,87;
01.01.2017;07:00;08:00;329,30;;2554,04;
01.01.2017;08:00;09:00;328,70;;2332,17;
01.01.2017;09:00;10:00;328,21;;2277,31;
01.01.2017;10:00;11:00;328,66;;1979,42;
01.01.2017;11:00;12:00;328,16;;1842,27;
01.01.2017;12:00;13:00;328,40;;1623,73;
01.01.2017;13:00;14:00;320,24;;1106,57;
01.01.2017;14:00;15:00;164,67;;620,54;
01.01.2017;15:00;16:00;95,02;;353,20;
01.01.2017;16:00;17:00;105,08;;420,87;
01.01.2017;17:00;18:00;131,05;;464,52;
01.01.2017;18:00;19:00;106,19;;649,56;
01.01.2017;19:00;20:00;110,60;;819,82;
01.01.2017;20:00;21:00;153,08;;1429,66;
01.01.2017;21:00;22:00;198,89;;1782,00;
01.01.2017;22:00;23:00;232,21;;2215,29;
01.01.2017;23:00;00:00;209,40;;2504,66;
02.01.2017;00:00;01:00;168,21;;2792,35;
02.01.2017;01:00;02:00;182,21;;2811,77;
02.01.2017;02:00;03:00;118,06;;2532,97;
02.01.2017;03:00;04:00;184,82;;2213,44;
02.01.2017;04:00;05:00;256,15;;1848,91;
02.01.2017;05:00;06:00;245,26;;1793,79;
02.01.2017;06:00;07:00;192,68;;1854,63;
02.01.2017;07:00;08:00;160,49;;1508,54;
02.01.2017;08:00;09:00;181,77;;1502,83;
02.01.2017;09:00;10:00;218,51;;1817,69;
02.01.2017;10:00;11:00;171,49;;2315,39;
02.01.2017;11:00;12:00;240,10;;2542,89;
02.01.2017;12:00;13:00;262,70;;2598,87;
02.01.2017;13:00;14:00;259,92;;2302,55;
02.01.2017;14:00;15:00;172,97;;2527,97;
02.01.2017;15:00;16:00;174,05;;2336,35;
02.01.2017;16:00;17:00;224,49;;2387,68;
02.01.2017;17:00;18:00;169,10;;2726,53;
02.01.2017;18:00;19:00;179,39;;2851,61;
02.01.2017;19:00;20:00;135,51;;2723,72;
02.01.2017;20:00;21:00;94,92;;2761,76;
02.01.2017;21:00;22:00;85,86;;2623,38;
02.01.2017;22:00;23:00;84,10;;2694,59;
02.01.2017;23:00;00:00;88,27;;2564,35;
03.01.2017;00:00;01:00;96,28;;2434,08;
03.01.2017;01:00;02:00;94,52;;2376,83;
03.01.2017;02:00;03:00;68,48;;2499,84;
03.01.2017;03:00;04:00;84,10;;2585,36;
03.01.2017;04:00;05:00;107,09;;2829,57;
03.01.2017;05:00;06:00;144,33;;2915,03;
03.01.2017;06:00;07:00;173,71;;2938,11;
03.01.2017;07:00;08:00;254,78;;2942,10;
03.01.2017;08:00;09:00;262,87;;2949,00;
03.01.2017;09:00;10:00;282,30;;2954,61;
03.01.2017;10:00;11:00;288,99;;2950,15;
03.01.2017;11:00;12:00;324,95;;2935,02;
03.01.2017;12:00;13:00;317,50;;2932,51;
03.01.2017;13:00;14:00;320,54;;2940,28;
03.01.2017;14:00;15:00;327,72;;2935,76;
03.01.2017;15:00;16:00;330,11;;2928,20;
03.01.2017;16:00;17:00;331,02;;2928,60;
03.01.2017;17:00;18:00;331,96;;2930,00;
03.01.2017;18:00;19:00;331,96;;2929,79;
03.01.2017;19:00;20:00;331,95;;2923,85;
03.01.2017;20:00;21:00;331,65;;2893,66;
03.01.2017;21:00;22:00;331,43;;2814,71;
03.01.2017;22:00;23:00;331,81;;2871,07;
03.01.2017;23:00;00:00;331,88;;2884,32;
04.01.2017;00:00;01:00;330,83;;2556,30;
04.01.2017;01:00;02:00;330,89;;2446,72;
04.01.2017;02:00;03:00;328,90;;2210,38;
04.01.2017;03:00;04:00;329,13;;2534,08;
04.01.2017;04:00;05:00;331,82;;2454,42;
04.01.2017;05:00;06:00;331,83;;2236,56;
04.01.2017;06:00;07:00;331,05;;2358,22;
04.01.2017;07:00;08:00;331,90;;2350,22;
04.01.2017;08:00;09:00;331,91;;2514,28;
04.01.2017;09:00;10:00;331,72;;2668,65;
04.01.2017;10:00;11:00;331,94;;2709,49;
04.01.2017;11:00;12:00;331,84;;2585,06;
04.01.2017;12:00;13:00;331,92;;2751,73;
04.01.2017;13:00;14:00;331,85;;2799,62;
04.01.2017;14:00;15:00;331,54;;2564,41;
04.01.2017;15:00;16:00;330,60;;2590,25;
04.01.2017;16:00;17:00;331,06;;2794,20;
04.01.2017;17:00;18:00;330,13;;2725,60;
04.01.2017;18:00;19:00;331,25;;2572,39;
04.01.2017;19:00;20:00;329,84;;2498,00;
04.01.2017;20:00;21:00;330,49;;2772,31;
04.01.2017;21:00;22:00;329,35;;2824,34;
04.01.2017;22:00;23:00;323,85;;2850,67;
04.01.2017;23:00;00:00;327,18;;2747,85;
05.01.2017;00:00;01:00;324,75;;2496,70;
05.01.2017;01:00;02:00;324,44;;2260,46;
05.01.2017;02:00;03:00;312,83;;2283,81;
05.01.2017;03:00;04:00;299,32;;2272,30;
05.01.2017;04:00;05:00;315,24;;2080,78;
05.01.2017;05:00;06:00;311,75;;2118,54;
05.01.2017;06:00;07:00;301,66;;1942,25;
05.01.2017;07:00;08:00;312,22;;1904,50;
05.01.2017;08:00;09:00;316,58;;1997,31;
05.01.2017;09:00;10:00;307,53;;1918,23;
05.01.2017;10:00;11:00;290,80;;1831,95;
05.01.2017;11:00;12:00;257,54;;1450,11;
05.01.2017;12:00;13:00;199,72;;1029,93;
05.01.2017;13:00;14:00;188,35;;693,45;
05.01.2017;14:00;15:00;167,40;;483,89;
05.01.2017;15:00;16:00;155,92;;430,80;
05.01.2017;16:00;17:00;198,66;;367,79;
05.01.2017;17:00;18:00;231,05;;321,43;
05.01.2017;18:00;19:00;204,10;;260,20;
05.01.2017;19:00;20:00;183,88;;194,82;
05.01.2017;20:00;21:00;145,14;;126,57;
05.01.2017;21:00;22:00;120,16;;84,32;
05.01.2017;22:00;23:00;78,33;;45,22;
05.01.2017;23:00;00:00;74,40;;60,51;
06.01.2017;00:00;01:00;56,47;;153,09;
06.01.2017;01:00;02:00;34,05;;257,63;
