Datum;von;bis;50Hertz (MW);Amprion (MW);TenneT TSO (MW);TransnetBW (MW)
01.01.2017;00:00;01:00;5169,75;1069,00;6252,70;69,42
01.01.2017;01:00;02:00;5276,26;1084,75;5931,28;74,76
01.01.2017;02:00;03:00;5095,99;1090,25;5823,86;53,72
01.01.2017;03:00;04:00;4829,52;1025,00;5807,01;58,33
01.01.2017;04:00;05:00;4782,20;968,50;6037,30;63,50
01.01.2017;05:00;06:00;4848,53;974,00;6367,79;93,68
01.01.2017;06:00;07:00;5219,76;847,75;7108,83;120,90
01.01.2017;07:00;08:00;5780,48;806,00;7031,76;126,80
01.01.2017;08:00;09:00;6221,32;774,75;6799,33;140,45
01.01.2017;09:00;10:00;6178,09;814,75;6826,06;119,25
01.01.2017;10:00;11:00;5321,00;830,25;6552,21;104,14
01.01.2017;11:00;12:00;4413,82;780,25;6315,08;113,72
01.01.2017;12:00;13:00;3970,32;725,00;5781,83;118,14
01.01.2017;13:00;14:00;3893,91;723,00;4994,25;106,99
01.01.2017;14:00;15:00;3835,49;871,75;4235,40;104,72
01.01.2017;15:00;16:00;3593,01;1019,50;3834,62;104,70
01.01.2017;16:00;17:00;3795,69;1134,00;3569,84;128,91
01.01.2017;17:00;18:00;4064,68;1246,50;3667,50;172,82
01.01.2017;18:00;19:00;4373,71;1203,25;3309,50;245,46
01.01.2017;19:00;20:00;4705,43;1091,00;3248,25;267,47
01.01.2017;20:00;21:00;5207,86;987,00;3077,75;262,45
01.01.2017;21:00;22:00;5577,02;957,25;2818,15;223,87
01.01.2017;22:00;23:00;5733,20;990,00;2964,29;231,36
01.01.2017;23:00;00:00;5435,32;913,75;2935,81;266,90
02.01.2017;00:00;01:00;5134,79;938,50;3089,50;283,65
02.01.2017;01:00;02:00;5068,19;983,00;3588,70;294,12
02.01.2017;02:00;03:00;5207,79;976,25;3655,00;244,99
02.01.2017;03:00;04:00;5313,62;957,75;3893,25;152,07
02.01.2017;04:00;05:00;5125,73;959,50;3688,27;126,62
02.01.2017;05:00;06:00;5097,00;971,25;3659,25;107,42
02.01.2017;06:00;07:00;4956,51;1012,75;3998,50;115,38
02.01.2017;07:00;08:00;5040,14;998,25;4118,50;110,96
02.01.2017;08:00;09:00;5054,94;1123,25;3442,75;108,18
02.01.2017;09:00;10:00;4859,86;1068,00;2478,25;83,99
02.01.2017;10:00;11:00;4781,77;960,25;2014,53;89,52
02.01.2017;11:00;12:00;4317,63;930,25;1703,50;99,96
02.01.2017;12:00;13:00;4262,33;944,25;1906,75;105,86
02.01.2017;13:00;14:00;4141,39;935,75;2357,50;101,59
02.01.2017;14:00;15:00;3917,36;851,00;2928,01;113,17
02.01.2017;15:00;16:00;3614,17;904,25;3431,93;109,34
02.01.2017;16:00;17:00;3648,12;1006,25;3682,00;97,94
02.01.2017;17:00;18:00;3889,48;1156,00;4110,72;79,75
02.01.2017;18:00;19:00;4095,32;1242,00;5014,63;83,91
02.01.2017;19:00;20:00;4522,64;1290,75;5152,50;81,08
02.01.2017;20:00;21:00;4588,34;1301,25;5096,64;78,40
02.01.2017;21:00;22:00;4935,19;1310,00;5270,24;58,13
02.01.2017;22:00;23:00;5175,52;1344,25;5391,22;40,99
02.01.2017;23:00;00:00;5969,39;1366,00;5677,75;38,64
03.01.2017;00:00;01:00;6641,98;1410,75;5928,86;31,65
03.01.2017;01:00;02:00;6859,34;1570,50;5812,43;31,22
03.01.2017;02:00;03:00;7296,57;1682,75;5690,50;40,07
03.01.2017;03:00;04:00;7661,48;1765,00;6174,00;44,16
03.01.2017;04:00;05:00;7876,59;1819,50;6309,75;38,95
03.01.2017;05:00;06:00;8460,86;1894,00;6418,41;38,51
03.01.2017;06:00;07:00;8948,01;1981,00;6928,28;51,45
03.01.2017;07:00;08:00;9206,21;2113,50;8183,53;75,18
03.01.2017;08:00;09:00;9432,34;2323,50;8645,31;97,83
03.01.2017;09:00;10:00;9792,11;2421,75;9346,22;115,12
03.01.2017;10:00;11:00;10246,87;2758,25;10475,83;118,86
03.01.2017;11:00;12:00;11238,03;3006,75;11621,49;109,90
03.01.2017;12:00;13:00;12120,24;3231,00;12423,54;129,35
03.01.2017;13:00;14:00;12917,83;3389,00;12843,99;133,80
03.01.2017;14:00;15:00;13440,53;3577,00;13120,21;136,45
03.01.2017;15:00;16:00;14015,44;3819,25;13591,33;167,09
03.01.2017;16:00;17:00;14488,24;4125,00;13820,97;204,82
03.01.2017;17:00;18:00;14754,16;4424,25;14134,44;260,60
03.01.2017;18:00;19:00;15059,13;4678,25;14497,56;318,75
03.01.2017;19:00;20:00;15115,49;4841,75;14677,72;381,86
03.01.2017;20:00;21:00;15117,32;5126,75;14804,06;424,80
03.01.2017;21:00;22:00;15073,08;5234,50;14906,79;436,87
03.01.2017;22:00;23:00;14932,22;5026,00;13529,40;479,15
03.01.2017;23:00;00:00;14924,86;5132,75;13779,73;486,06
04.01.2017;00:00;01:00;14841,35;5051,00;13619,94;519,15
04.01.2017;01:00;02:00;14895,48;4995,00;13134,15;539,12
04.01.2017;02:00;03:00;14554,57;4826,00;13094,79;528,02
04.01.2017;03:00;04:00;14298,38;4658,25;12877,49;563,33
04.01.2017;04:00;05:00;14158,12;4674,50;12803,20;641,47
04.01.2017;05:00;06:00;13828,54;4739,00;12852,56;601,62
04.01.2017;06:00;07:00;14117,51;4793,75;13619,18;537,92
04.01.2017;07:00;08:00;14590,51;4737,50;13783,64;534,68
04.01.2017;08:00;09:00;14890,88;4500,50;13727,84;530,94
04.01.2017;09:00;10:00;14745,32;4398,50;13269,03;547,11
04.01.2017;10:00;11:00;14598,38;4439,00;12886,43;574,88
04.01.2017;11:00;12:00;14644,25;4399,25;12891,39;601,56
04.01.2017;12:00;13:00;14370,28;4580,50;12589,94;592,18
04.01.2017;13:00;14:00;14071,75;4605,75;11546,98;569,94
04.01.2017;14:00;15:00;13401,64;4481,50;10716,73;625,25
04.01.2017;15:00;16:00;13066,37;4309,75;9656,28;598,26
04.01.2017;16:00;17:00;12155,98;3858,50;9282,13;550,98
04.01.2017;17:00;18:00;10767,56;3442,50;9503,69;524,48
04.01.2017;18:00;19:00;9364,65;3343,75;10214,56;529,99
04.01.2017;19:00;20:00;8743,64;3402,75;10294,97;542,70
04.01.2017;20:00;21:00;8235,37;3289,00;9717,59;456,09
04.01.2017;21:00;22:00;8193,86;2848,50;9605,43;401,00
04.01.2017;22:00;23:00;8076,80;2311,00;8300,27;393,53
04.01.2017;23:00;00:00;8237,65;2049,00;7443,25;432,79
05.01.2017;00:00;01:00;7925,10;1878,75;6696,01;458,33
05.01.2017;01:00;02:00;7364,55;1813,75;6208,64;467,92
05.01.2017;02:00;03:00;7052,15;1840,50;5708,36;405,56
05.01.2017;03:00;04:00;6390,05;1827,50;5476,80;383,05
05.01.2017;04:00;05:00;6054,82;1867,50;5248,53;348,53
05.01.2017;05:00;06:00;5771,49;1733,75;4869,14;302,56
05.01.2017;06:00;07:00;5569,11;1435,25;4485,56;285,98
05.01.2017;07:00;08:00;5485,61;1332,50;4353,76;232,16
05.01.2017;08:00;09:00;5250,57;1205,75;4135,92;236,53
05.01.2017;09:00;10:00;4990,09;1184,75;3797,86;202,31
05.01.2017;10:00;11:00;5160,67;1095,00;3416,82;161,14
05.01.2017;11:00;12:00;5338,93;1195,25;3666,97;166,94
05.01.2017;12:00;13:00;5594,00;1507,25;3643,25;183,55
05.01.2017;13:00;14:00;5377,25;1271,50;3397,01;185,14
05.01.2017;14:00;15:00;5245,10;1025,75;2925,45;132,70
05.01.2017;15:00;16:00;5093,40;933,25;2735,00;140,48
05.01.2017;16:00;17:00;4721,99;850,00;2617,00;146,19
05.01.2017;17:00;18:00;4525,10;922,00;2480,20;144,47
05.01.2017;18:00;19:00;4264,55;984,00;2325,81;148,04
05.01.2017;19:00;20:00;4006,64;881,00;1990,78;133,77
05.01.2017;20:00;21:00;3819,85;790,50;1753,85;128,97
05.01.2017;21:00;22:00;3603,44;758,75;1493,70;121,95
05.01.2017;22:00;23:00;3415,22;569,25;1228,77;122,35
05.01.2017;23:00;00:00;3029,74;566,00;1137,75;97,35
06.01.2017;00:00;01:00;2530,18;500,50;916,75;77,01
06.01.2017;01:00;02:00;2365,83;421,50;706,09;71,71
06.01.2017;02:00;03:00;2228,62;374,25;591,63;84,17
06.01.2017;03:00;04:00;2210,88;315,50;518,56;104,97
06.01.2017;04:00;05:00;2255,72;278,25;432,75;91,29
06.01.2017;05:00;06:00;2124,48;229,75;348,25;84,79
