,11WD8LIPD1L---R6
2016-12-31T00:00:00.000Z,479.75
2016-12-31T01:00:00.000Z,480.0
2016-12-31T02:00:00.000Z,480.0
2016-12-31T03:00:00.000Z,480.25
2016-12-31T04:00:00.000Z,481.25
2016-12-31T05:00:00.000Z,443.5
2016-12-31T06:00:00.000Z,480.25
2016-12-31T07:00:00.000Z,448.25
2016-12-31T08:00:00.000Z,439.0
2016-12-31T09:00:00.000Z,439.0
2016-12-31T10:00:00.000Z,438.25
2016-12-31T11:00:00.000Z,438.75
2016-12-31T12:00:00.000Z,438.75
2016-12-31T13:00:00.000Z,439.5
2016-12-31T14:00:00.000Z,439.25
2016-12-31T15:00:00.000Z,438.0
2016-12-31T16:00:00.000Z,439.0
2016-12-31T17:00:00.000Z,439.25
2016-12-31T18:00:00.000Z,439.25
2016-12-31T19:00:00.000Z,439.0
2016-12-31T20:00:00.000Z,438.0
2016-12-31T21:00:00.000Z,438.25
2016-12-31T22:00:00.000Z,440.75
2016-12-31T23:00:00.000Z,509.0
2017-01-01T00:00:00.000Z,662.75
2017-01-01T01:00:00.000Z,720.25
2017-01-01T02:00:00.000Z,830.25
2017-01-01T03:00:00.000Z,848.0
2017-01-01T04:00:00.000Z,863.25
2017-01-01T05:00:00.000Z,872.25
2017-01-01T06:00:00.000Z,804.0
2017-01-01T07:00:00.000Z,714.75
2017-01-01T08:00:00.000Z,696.5
2017-01-01T09:00:00.000Z,714.75
2017-01-01T10:00:00.000Z,714.25
2017-01-01T11:00:00.000Z,722.25
2017-01-01T12:00:00.000Z,801.25
2017-01-01T13:00:00.000Z,662.0
2017-01-01T14:00:00.000Z,541.25
2017-01-01T15:00:00.000Z,470.5
2017-01-01T16:00:00.000Z,434.75
2017-01-01T17:00:00.000Z,436.5
2017-01-01T18:00:00.000Z,435.75
2017-01-01T19:00:00.000Z,437.5
2017-01-01T20:00:00.000Z,435.5
2017-01-01T21:00:00.000Z,435.5
2017-01-01T22:00:00.000Z,439.5
2017-01-01T23:00:00.000Z,505.5
2017-01-02T00:00:00.000Z,693.75
2017-01-02T01:00:00.000Z,863.75
2017-01-02T02:00:00.000Z,863.25
2017-01-02T03:00:00.000Z,847.75
2017-01-02T04:00:00.000Z,691.25
2017-01-02T05:00:00.000Z,852.75
2017-01-02T06:00:00.000Z,856.0
2017-01-02T07:00:00.000Z,861.0
2017-01-02T08:00:00.000Z,862.25
2017-01-02T09:00:00.000Z,848.0
2017-01-02T10:00:00.000Z,850.25
2017-01-02T11:00:00.000Z,725.0
2017-01-02T12:00:00.000Z,864.75
2017-01-02T13:00:00.000Z,865.0
2017-01-02T14:00:00.000Z,867.75
2017-01-02T15:00:00.000Z,848.5
2017-01-02T16:00:00.000Z,853.5
2017-01-02T17:00:00.000Z,863.0
2017-01-02T18:00:00.000Z,867.75
2017-01-02T19:00:00.000Z,865.0
2017-01-02T20:00:00.000Z,855.75
2017-01-02T21:00:00.000Z,615.25
2017-01-02T22:00:00.000Z,451.75
2017-01-02T23:00:00.000Z,447.5
2017-01-03T00:00:00.000Z,433.0
2017-01-03T01:00:00.000Z,436.75
2017-01-03T02:00:00.000Z,446.25
2017-01-03T03:00:00.000Z,456.25
2017-01-03T04:00:00.000Z,455.25
2017-01-03T05:00:00.000Z,460.0
2017-01-03T06:00:00.000Z,447.5
2017-01-03T07:00:00.000Z,447.0
2017-01-03T08:00:00.000Z,448.5
2017-01-03T09:00:00.000Z,447.5
2017-01-03T10:00:00.000Z,446.25
2017-01-03T11:00:00.000Z,448.5
2017-01-03T12:00:00.000Z,447.5
2017-01-03T13:00:00.000Z,447.25
2017-01-03T14:00:00.000Z,436.75
2017-01-03T15:00:00.000Z,435.5
2017-01-03T16:00:00.000Z,434.75
2017-01-03T17:00:00.000Z,436.0
2017-01-03T18:00:00.000Z,436.0
2017-01-03T19:00:00.000Z,436.5
2017-01-03T20:00:00.000Z,435.0
2017-01-03T21:00:00.000Z,437.75
2017-01-03T22:00:00.000Z,456.5
2017-01-03T23:00:00.000Z,476.75
2017-01-04T00:00:00.000Z,476.5
2017-01-04T01:00:00.000Z,475.75
2017-01-04T02:00:00.000Z,475.5
2017-01-04T03:00:00.000Z,476.25
2017-01-04T04:00:00.000Z,475.5
2017-01-04T05:00:00.000Z,475.5
2017-01-04T06:00:00.000Z,476.0
2017-01-04T07:00:00.000Z,448.0
2017-01-04T08:00:00.000Z,462.25
2017-01-04T09:00:00.000Z,615.0
2017-01-04T10:00:00.000Z,618.5
2017-01-04T11:00:00.000Z,618.0
2017-01-04T12:00:00.000Z,617.75
2017-01-04T13:00:00.000Z,618.0
2017-01-04T14:00:00.000Z,618.0
2017-01-04T15:00:00.000Z,616.5
2017-01-04T16:00:00.000Z,609.0
2017-01-04T17:00:00.000Z,446.25
2017-01-04T18:00:00.000Z,508.75
